# c_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field 1/48 (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:58:01, uuid 2aa2e61e-8b52-434e-bca1-562d368f4c7b, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 92.79 dB\n92.5 dB C, 90.0 dB A\n92.7 dB 22 - 22k UNW\n39.7 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	52.087
4.4264	52.105
4.4585	52.127
4.4908	52.149
4.5233	52.172
4.5561	52.194
4.5891	52.217
4.6223	52.239
4.6558	52.261
4.6896	52.284
4.7236	52.306
4.7578	52.329
4.7923	52.351
4.8270	52.374
4.8620	52.396
4.8972	52.419
4.9327	52.441
4.9684	52.464
5.0044	52.486
5.0407	52.509
5.0772	52.531
5.1140	52.554
5.1511	52.576
5.1884	52.599
5.2260	52.621
5.2639	52.644
5.3020	52.666
5.3404	52.689
5.3791	52.711
5.4181	52.734
5.4574	52.756
5.4969	52.779
5.5368	52.801
5.5769	52.823
5.6173	52.846
5.6580	52.868
5.6990	52.891
5.7403	52.913
5.7819	52.936
5.8238	52.956
5.8660	52.967
5.9085	52.955
5.9513	52.937
5.9944	52.919
6.0379	52.901
6.0816	52.882
6.1257	52.864
6.1701	52.846
6.2148	52.827
6.2598	52.809
6.3052	52.790
6.3509	52.772
6.3969	52.754
6.4433	52.735
6.4900	52.717
6.5370	52.698
6.5844	52.680
6.6321	52.661
6.6801	52.643
6.7285	52.625
6.7773	52.606
6.8264	52.588
6.8759	52.569
6.9257	52.551
6.9759	52.533
7.0264	52.514
7.0774	52.496
7.1286	52.477
7.1803	52.459
7.2323	52.440
7.2847	52.421
7.3375	52.397
7.3907	52.366
7.4442	52.332
7.4982	52.298
7.5525	52.264
7.6073	52.231
7.6624	52.197
7.7179	52.163
7.7738	52.129
7.8302	52.095
7.8869	52.061
7.9441	52.027
8.0016	51.994
8.0596	51.960
8.1180	51.926
8.1768	51.892
8.2361	51.858
8.2958	51.824
8.3559	51.790
8.4164	51.756
8.4774	51.723
8.5389	51.689
8.6007	51.655
8.6631	51.621
8.7258	51.588
8.7891	51.561
8.8528	51.555
8.9169	51.554
8.9815	51.555
9.0466	51.555
9.1122	51.555
9.1782	51.556
9.2447	51.556
9.3117	51.557
9.3792	51.557
9.4471	51.558
9.5156	51.558
9.5845	51.559
9.6540	51.559
9.7240	51.560
9.7944	51.560
9.8654	51.560
9.9369	51.561
10.0089	51.561
10.0814	51.562
10.1545	51.561
10.2281	51.555
10.3022	51.526
10.3768	51.481
10.4520	51.432
10.5278	51.383
10.6040	51.333
10.6809	51.284
10.7583	51.234
10.8362	51.185
10.9148	51.135
10.9939	51.086
11.0735	51.036
11.1538	50.987
11.2346	50.937
11.3160	50.888
11.3980	50.839
11.4806	50.789
11.5638	50.739
11.6476	50.688
11.7320	50.630
11.8170	50.552
11.9026	50.470
11.9889	50.388
12.0758	50.305
12.1633	50.222
12.2514	50.140
12.3402	50.057
12.4296	49.974
12.5197	49.892
12.6104	49.809
12.7018	49.726
12.7938	49.644
12.8865	49.561
12.9799	49.478
13.0740	49.397
13.1687	49.325
13.2641	49.291
13.3603	49.273
13.4571	49.258
