# m-L_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field 1/48 (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:55:03, uuid fe3ef648-17b8-470b-a889-b4363226d404, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 94.00 dB\n93.2 dB C, 92.1 dB A\n94.0 dB 22 - 22k UNW\n39.8 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	51.754
4.4264	51.776
4.4585	51.802
4.4908	51.829
4.5233	51.856
4.5561	51.883
4.5891	51.910
4.6223	51.937
4.6558	51.964
4.6896	51.991
4.7236	52.018
4.7578	52.045
4.7923	52.072
4.8270	52.099
4.8620	52.126
4.8972	52.153
4.9327	52.180
4.9684	52.207
5.0044	52.234
5.0407	52.261
5.0772	52.288
5.1140	52.315
5.1511	52.342
5.1884	52.369
5.2260	52.396
5.2639	52.423
5.3020	52.450
5.3404	52.477
5.3791	52.504
5.4181	52.531
5.4574	52.558
5.4969	52.585
5.5368	52.612
5.5769	52.639
5.6173	52.666
5.6580	52.693
5.6990	52.720
5.7403	52.747
5.7819	52.774
5.8238	52.797
5.8660	52.806
5.9085	52.776
5.9513	52.737
5.9944	52.696
6.0379	52.656
6.0816	52.615
6.1257	52.575
6.1701	52.534
6.2148	52.494
6.2598	52.453
6.3052	52.413
6.3509	52.372
6.3969	52.332
6.4433	52.291
6.4900	52.250
6.5370	52.210
6.5844	52.169
6.6321	52.129
6.6801	52.088
6.7285	52.048
6.7773	52.007
6.8264	51.967
6.8759	51.926
6.9257	51.886
6.9759	51.845
7.0264	51.805
7.0774	51.764
7.1286	51.724
7.1803	51.683
7.2323	51.643
7.2847	51.605
7.3375	51.577
7.3907	51.568
7.4442	51.564
7.4982	51.561
7.5525	51.557
7.6073	51.554
7.6624	51.551
7.7179	51.547
7.7738	51.544
7.8302	51.541
7.8869	51.537
7.9441	51.534
8.0016	51.531
8.0596	51.527
8.1180	51.524
8.1768	51.521
8.2361	51.517
8.2958	51.514
8.3559	51.511
8.4164	51.507
8.4774	51.504
8.5389	51.501
8.6007	51.497
8.6631	51.494
8.7258	51.489
8.7891	51.478
8.8528	51.440
8.9169	51.395
8.9815	51.348
9.0466	51.302
9.1122	51.256
9.1782	51.210
9.2447	51.163
9.3117	51.117
9.3792	51.071
9.4471	51.025
9.5156	50.978
9.5845	50.932
9.6540	50.886
9.7240	50.840
9.7944	50.793
9.8654	50.747
9.9369	50.701
10.0089	50.655
10.0814	50.608
10.1545	50.561
10.2281	50.511
10.3022	50.445
10.3768	50.369
10.4520	50.291
10.5278	50.212
10.6040	50.133
10.6809	50.054
10.7583	49.976
10.8362	49.897
10.9148	49.818
10.9939	49.739
11.0735	49.660
11.1538	49.581
11.2346	49.503
11.3160	49.424
11.3980	49.345
11.4806	49.266
11.5638	49.188
11.6476	49.114
11.7320	49.060
11.8170	49.056
11.9026	49.065
11.9889	49.075
12.0758	49.086
12.1633	49.096
12.2514	49.107
12.3402	49.118
12.4296	49.128
12.5197	49.139
12.6104	49.149
12.7018	49.160
12.7938	49.171
12.8865	49.181
12.9799	49.191
13.0740	49.199
13.1687	49.190
13.2641	49.107
13.3603	48.994
13.4571	48.876
13.5546	48.757
13.6528	48.637
13.7517	48.518
13.8514	48.398
13.9518	48.279
14.0529	48.159
14.1547	48.040
14.2573	47.920
14.3606	47.801
14.4646	47.681
14.5695	47.561
14.6750	47.436
14.7814	47.302
14.8885	47.166
14.9964	47.030
15.1051	46.893
15.2145	46.757
15.3248	46.621
15.4358	46.484
15.5477	46.348
15.6603	46.212
15.7738	46.076
15.8881	45.940
16.0032	45.808
16.1192	45.699
16.2360	45.671
16.3537	45.662
16.4722	45.656
16.5915	45.651
16.7118	45.645
16.8329	45.640
16.9548	45.635
17.0777	45.629
17.2015	45.624
17.3261	45.618
17.4517	45.611
17.5781	45.593
17.7055	45.532
17.8338	45.459
17.9630	45.385
18.0932	45.311
18.2243	45.237
18.3564	45.162
18.4894	45.088
18.6234	45.014
18.7583	44.940
18.8943	44.871
19.0312	44.831
19.1691	44.915
19.3080	45.040
19.4479	45.171
19.5888	45.303
19.7308	45.436
19.8738	45.568
20.0178	45.700
20.1628	45.833
20.3089	45.966
20.4561	46.101
20.6043	46.246
20.7536	46.398
20.9040	46.551
21.0555	46.705
21.2081	46.858
21.3618	47.012
21.5166	47.166
21.6725	47.318
21.8295	47.466
21.9877	47.588
22.1470	47.632
22.3075	47.658
22.4692	47.682
22.6320	47.705
22.7960	47.728
22.9612	47.752
23.1276	47.774
23.2952	47.796
23.4640	47.808
23.6340	47.798
23.8053	47.782
23.9778	47.766
24.1515	47.750
24.3265	47.734
24.5028	47.718
24.6804	47.705
24.8592	47.707
25.0394	47.773
25.2208	47.874
25.4036	47.981
25.5877	48.088
25.7731	48.196
25.9598	48.304
26.1480	48.411
26.3374	48.509
26.5283	48.575
26.7205	48.627
26.9141	48.676
27.1092	48.725
27.3056	48.774
27.5035	48.820
27.7028	48.847
27.9035	48.785
28.1057	48.595
28.3094	48.374
28.5145	48.148
28.7212	47.922
28.9293	47.697
29.1389	47.484
29.3501	47.326
29.5628	47.274
29.7770	47.248
29.9928	47.225
30.2101	47.204
30.4290	47.184
30.6495	47.177
30.8716	47.226
31.0953	47.333
31.3207	47.451
31.5476	47.572
31.7762	47.692
32.0065	47.806
32.2384	47.882
32.4720	47.831
32.7073	47.750
32.9444	47.664
33.1831	47.577
33.4235	47.489
33.6657	47.394
33.9097	47.266
34.1554	47.127
34.4029	46.986
34.6522	46.844
34.9033	46.698
35.1562	46.533
35.4110	46.277
35.6676	45.999
35.9261	45.719
36.1864	45.449
36.4486	45.260
36.7128	45.453
36.9788	46.183
37.2467	47.025
37.5167	47.880
37.7885	48.732
38.0623	49.557
38.3382	50.290
38.6160	50.996
38.8958	51.697
39.1777	52.388
39.4616	53.026
39.7475	53.466
40.0355	53.786
40.3257	54.083
40.6179	54.374
40.9122	54.646
41.2087	54.846
41.5073	54.996
41.8081	55.136
42.1110	55.269
42.4162	55.373
42.7235	55.353
43.0331	55.275
43.3450	55.182
43.6591	55.074
43.9754	54.881
44.2941	54.429
44.6151	53.911
44.9384	53.386
45.2640	52.901
45.5920	52.613
45.9224	52.503
46.2552	52.435
46.5904	52.372
46.9280	52.310
47.2680	52.248
47.6105	52.184
47.9556	52.108
48.3031	51.953
48.6531	51.440
49.0056	50.795
49.3608	50.128
49.7184	49.497
50.0787	49.058
50.4416	48.726
50.8071	48.435
51.1753	48.266
51.5461	48.591
51.9197	49.177
52.2959	49.796
52.6749	50.334
53.0566	50.538
53.4410	50.611
53.8283	50.648
54.2183	50.613
54.6112	50.334
55.0070	49.991
55.4056	49.600
55.8071	49.019
56.2115	48.152
56.6188	47.207
57.0291	46.252
57.4423	45.314
57.8586	44.391
58.2779	43.497
58.7002	42.752
59.1255	42.309
59.5540	41.942
59.9855	41.561
60.4202	41.047
60.8580	40.477
61.2990	39.929
61.7432	39.552
62.1907	39.356
62.6413	39.211
63.0952	39.116
63.5525	39.105
64.0130	39.109
64.4768	39.086
64.9441	38.956
65.4147	38.799
65.8887	38.630
66.3662	38.430
66.8471	38.227
67.3315	38.066
67.8194	38.097
68.3108	38.205
68.8058	38.395
69.3044	38.854
69.8067	39.382
70.3125	39.839
70.8220	39.972
71.3352	40.022
71.8521	40.015
72.3728	39.888
72.8973	39.768
73.4255	39.815
73.9576	40.107
74.4935	40.444
75.0333	40.744
75.5770	41.005
76.1247	41.217
76.6763	41.257
77.2320	41.280
77.7916	41.479
78.3553	41.982
78.9231	42.475
79.4950	42.666
80.0711	42.646
80.6513	42.453
81.2357	41.920
81.8244	41.464
82.4173	41.750
83.0146	42.524
83.6161	43.260
84.2220	43.728
84.8323	44.065
85.4471	44.086
86.0663	43.975
86.6899	43.901
87.3181	43.892
87.9509	43.828
88.5882	43.550
89.2301	43.320
89.8767	43.528
90.5280	43.972
91.1840	44.582
91.8448	45.233
92.5103	45.563
93.1807	45.433
93.8559	45.480
94.5360	46.198
95.2211	47.061
95.9111	47.936
96.6061	48.810
97.3062	49.686
98.0113	50.677
98.7215	52.031
99.4369	53.302
100.1575	53.755
100.8832	53.764
101.6143	53.489
102.3506	53.146
103.0923	53.073
103.8393	53.202
104.5918	53.552
105.3497	54.045
106.1131	54.753
106.8821	55.526
107.6566	56.260
108.4367	56.856
109.2225	57.025
110.0139	57.060
110.8112	57.025
111.6141	57.210
112.4229	57.730
113.2376	58.274
114.0582	58.740
114.8847	58.987
115.7172	59.132
116.5557	59.275
117.4003	59.361
118.2511	59.380
119.1080	59.645
119.9711	60.225
120.8404	61.124
121.7161	61.999
122.5981	62.545
123.4865	62.842
124.3813	62.988
125.2826	63.298
126.1905	63.598
127.1049	63.772
128.0260	64.089
128.9537	64.440
129.8881	64.498
130.8294	64.642
131.7774	64.936
132.7323	65.214
133.6942	65.251
134.6630	65.106
135.6388	65.510
136.6217	66.097
137.6117	66.682
138.6089	67.205
139.6133	67.357
140.6250	67.069
141.6440	66.625
142.6704	66.439
143.7043	66.598
144.7456	66.995
145.7945	67.069
146.8510	67.087
147.9151	67.323
148.9870	67.725
150.0666	67.957
151.1541	68.114
152.2494	68.394
153.3526	68.558
154.4639	68.520
155.5832	68.333
156.7106	68.399
157.8462	69.780
158.9900	70.719
160.1422	71.040
161.3026	71.076
162.4715	71.266
163.6488	71.282
164.8347	71.512
166.0291	72.044
167.2323	72.721
168.4441	73.249
169.6647	73.279
170.8942	73.191
172.1325	72.784
173.3799	72.400
174.6363	72.588
175.9017	73.160
177.1764	72.925
178.4603	73.012
179.7535	73.171
181.0561	72.822
182.3681	72.475
183.6896	72.553
185.0207	72.667
186.3614	72.695
187.7119	73.372
189.0721	73.797
190.4422	73.162
191.8222	72.827
193.2122	72.881
194.6123	72.441
196.0226	72.806
197.4430	72.987
198.8738	72.827
200.3149	72.680
201.7665	72.206
203.2286	72.029
204.7012	72.112
206.1846	72.212
207.6787	72.268
209.1836	72.237
210.6994	72.141
212.2262	72.063
213.7641	72.034
215.3131	72.132
216.8734	72.322
218.4450	72.497
220.0279	72.590
221.6223	72.410
223.2283	72.109
224.8459	72.226
226.4752	72.659
228.1163	72.968
229.7694	73.074
231.4344	72.829
233.1114	72.370
