# m-R_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:55:43, uuid 9239241f-a356-487c-9f88-da4b43b3924d, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 91.27 dB\n90.0 dB C, 88.2 dB A\n91.2 dB 22 - 22k UNW\n39.7 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	50.994
4.4264	50.986
4.4585	50.978
4.4908	50.970
4.5233	50.963
4.5561	50.955
4.5891	50.947
4.6223	50.939
4.6558	50.931
4.6896	50.923
4.7236	50.916
4.7578	50.908
4.7923	50.900
4.8270	50.892
4.8620	50.884
4.8972	50.876
4.9327	50.869
4.9684	50.861
5.0044	50.853
5.0407	50.845
5.0772	50.837
5.1140	50.829
5.1511	50.822
5.1884	50.814
5.2260	50.806
5.2639	50.798
5.3020	50.790
5.3404	50.782
5.3791	50.775
5.4181	50.767
5.4574	50.759
5.4969	50.751
5.5368	50.743
5.5769	50.735
5.6173	50.728
5.6580	50.720
5.6990	50.712
5.7403	50.704
5.7819	50.696
5.8238	50.688
5.8660	50.681
5.9085	50.678
5.9513	50.675
5.9944	50.672
6.0379	50.669
6.0816	50.666
6.1257	50.663
6.1701	50.660
6.2148	50.657
6.2598	50.654
6.3052	50.651
6.3509	50.648
6.3969	50.645
6.4433	50.642
6.4900	50.639
6.5370	50.636
6.5844	50.633
6.6321	50.630
6.6801	50.627
6.7285	50.624
6.7773	50.620
6.8264	50.617
6.8759	50.614
6.9257	50.611
6.9759	50.608
7.0264	50.605
7.0774	50.602
7.1286	50.599
7.1803	50.596
7.2323	50.593
7.2847	50.590
7.3375	50.572
7.3907	50.511
7.4442	50.449
7.4982	50.388
7.5525	50.326
7.6073	50.265
7.6624	50.204
7.7179	50.142
7.7738	50.081
7.8302	50.019
7.8869	49.958
7.9441	49.896
8.0016	49.835
8.0596	49.773
8.1180	49.712
8.1768	49.651
8.2361	49.589
8.2958	49.528
8.3559	49.466
8.4164	49.405
8.4774	49.343
8.5389	49.282
8.6007	49.220
8.6631	49.159
8.7258	49.098
8.7891	49.036
8.8528	48.989
8.9169	48.943
8.9815	48.896
9.0466	48.849
9.1122	48.803
9.1782	48.756
9.2447	48.709
9.3117	48.663
9.3792	48.616
9.4471	48.569
9.5156	48.522
9.5845	48.476
9.6540	48.429
9.7240	48.382
9.7944	48.336
9.8654	48.289
9.9369	48.242
10.0089	48.196
10.0814	48.149
10.1545	48.102
10.2281	48.055
10.3022	48.020
10.3768	47.991
10.4520	47.962
10.5278	47.933
10.6040	47.904
10.6809	47.875
10.7583	47.846
10.8362	47.817
10.9148	47.788
10.9939	47.759
11.0735	47.730
11.1538	47.701
11.2346	47.672
11.3160	47.643
11.3980	47.614
11.4806	47.585
11.5638	47.556
11.6476	47.527
11.7320	47.512
11.8170	47.569
11.9026	47.626
11.9889	47.683
12.0758	47.740
12.1633	47.797
12.2514	47.855
12.3402	47.912
12.4296	47.969
12.5197	48.026
12.6104	48.083
12.7018	48.140
12.7938	48.197
12.8865	48.255
12.9799	48.312
13.0740	48.369
13.1687	48.426
13.2641	48.430
13.3603	48.424
13.4571	48.418
13.5546	48.413
13.6528	48.407
13.7517	48.401
13.8514	48.395
13.9518	48.389
14.0529	48.383
14.1547	48.378
14.2573	48.372
14.3606	48.366
14.4646	48.360
14.5695	48.354
14.6750	48.318
14.7814	48.190
14.8885	48.062
14.9964	47.934
15.1051	47.806
15.2145	47.678
15.3248	47.550
15.4358	47.422
15.5477	47.294
15.6603	47.166
15.7738	47.038
15.8881	46.910
16.0032	46.782
16.1192	46.648
16.2360	46.410
16.3537	46.172
16.4722	45.934
16.5915	45.696
16.7118	45.458
16.8329	45.220
16.9548	44.982
17.0777	44.744
17.2015	44.506
17.3261	44.268
17.4517	44.030
17.5781	43.792
17.7055	43.738
17.8338	43.685
17.9630	43.631
18.0932	43.577
18.2243	43.523
18.3564	43.470
18.4894	43.416
18.6234	43.362
18.7583	43.308
18.8943	43.254
19.0312	43.201
19.1691	43.296
19.3080	43.405
19.4479	43.514
19.5888	43.623
19.7308	43.733
19.8738	43.842
20.0178	43.951
20.1628	44.060
20.3089	44.169
20.4561	44.278
20.6043	44.408
20.7536	44.549
20.9040	44.690
21.0555	44.831
21.2081	44.972
21.3618	45.113
21.5166	45.254
21.6725	45.395
21.8295	45.536
21.9877	45.661
22.1470	45.632
22.3075	45.603
22.4692	45.575
22.6320	45.546
22.7960	45.518
22.9612	45.489
23.1276	45.460
23.2952	45.432
23.4640	45.416
23.6340	45.469
23.8053	45.522
23.9778	45.575
24.1515	45.627
24.3265	45.680
24.5028	45.733
24.6804	45.786
24.8592	45.839
25.0394	46.126
25.2208	46.488
25.4036	46.850
