# sw_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:53:38, uuid 9ff4deb9-8213-4709-b3c9-e2b849b41954, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 97.69 dB\n93.1 dB C, 67.3 dB A\n94.4 dB 22 - 22k UNW\n39.7 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	57.607
4.4264	57.726
4.4585	57.844
4.4908	57.962
4.5233	58.080
4.5561	58.199
4.5891	58.317
4.6223	58.435
4.6558	58.553
4.6896	58.671
4.7236	58.790
4.7578	58.908
4.7923	59.026
4.8270	59.144
4.8620	59.263
4.8972	59.381
4.9327	59.499
4.9684	59.617
5.0044	59.736
5.0407	59.854
5.0772	59.972
5.1140	60.090
5.1511	60.209
5.1884	60.327
5.2260	60.445
5.2639	60.563
5.3020	60.682
5.3404	60.800
5.3791	60.918
5.4181	61.036
5.4574	61.155
5.4969	61.273
5.5368	61.391
5.5769	61.509
5.6173	61.628
5.6580	61.746
5.6990	61.864
5.7403	61.982
5.7819	62.101
5.8238	62.219
5.8660	62.336
5.9085	62.446
5.9513	62.557
5.9944	62.668
6.0379	62.778
6.0816	62.889
6.1257	62.999
6.1701	63.110
6.2148	63.220
6.2598	63.331
6.3052	63.442
6.3509	63.552
6.3969	63.663
6.4433	63.773
6.4900	63.884
6.5370	63.995
6.5844	64.105
6.6321	64.216
6.6801	64.326
6.7285	64.437
6.7773	64.547
6.8264	64.658
6.8759	64.769
6.9257	64.879
6.9759	64.990
7.0264	65.100
7.0774	65.211
7.1286	65.321
7.1803	65.432
7.2323	65.543
7.2847	65.653
7.3375	65.769
7.3907	65.901
7.4442	66.033
7.4982	66.165
7.5525	66.297
7.6073	66.429
7.6624	66.561
7.7179	66.693
7.7738	66.825
7.8302	66.957
7.8869	67.089
7.9441	67.221
8.0016	67.353
8.0596	67.485
8.1180	67.618
8.1768	67.750
8.2361	67.882
8.2958	68.014
8.3559	68.146
8.4164	68.278
8.4774	68.410
8.5389	68.542
8.6007	68.674
8.6631	68.806
8.7258	68.938
8.7891	69.070
8.8528	69.149
8.9169	69.229
8.9815	69.308
9.0466	69.388
9.1122	69.468
9.1782	69.547
9.2447	69.627
9.3117	69.706
9.3792	69.786
9.4471	69.865
9.5156	69.945
9.5845	70.024
9.6540	70.104
9.7240	70.184
9.7944	70.263
9.8654	70.343
9.9369	70.422
10.0089	70.502
10.0814	70.581
10.1545	70.661
10.2281	70.740
10.3022	70.810
10.3768	70.875
10.4520	70.940
10.5278	71.005
10.6040	71.069
10.6809	71.134
10.7583	71.199
10.8362	71.264
10.9148	71.328
10.9939	71.393
11.0735	71.458
11.1538	71.523
11.2346	71.588
11.3160	71.652
11.3980	71.717
11.4806	71.782
11.5638	71.847
11.6476	71.911
11.7320	71.981
11.8170	72.078
11.9026	72.175
11.9889	72.272
12.0758	72.369
12.1633	72.466
12.2514	72.563
12.3402	72.660
12.4296	72.757
12.5197	72.854
12.6104	72.950
12.7018	73.047
12.7938	73.144
12.8865	73.241
12.9799	73.338
13.0740	73.435
13.1687	73.532
13.2641	73.659
13.3603	73.792
13.4571	73.925
13.5546	74.057
13.6528	74.190
13.7517	74.323
13.8514	74.455
13.9518	74.588
14.0529	74.721
14.1547	74.853
14.2573	74.986
14.3606	75.119
14.4646	75.252
14.5695	75.384
14.6750	75.509
14.7814	75.611
14.8885	75.714
14.9964	75.816
15.1051	75.918
15.2145	76.020
15.3248	76.122
15.4358	76.224
15.5477	76.326
15.6603	76.428
15.7738	76.531
15.8881	76.633
16.0032	76.735
16.1192	76.836
16.2360	76.915
16.3537	76.994
16.4722	77.072
16.5915	77.151
16.7118	77.230
16.8329	77.309
16.9548	77.388
17.0777	77.467
17.2015	77.546
17.3261	77.624
17.4517	77.703
17.5781	77.782
17.7055	77.880
17.8338	77.978
17.9630	78.076
18.0932	78.175
18.2243	78.273
18.3564	78.371
18.4894	78.469
18.6234	78.567
18.7583	78.665
18.8943	78.763
19.0312	78.861
19.1691	79.053
19.3080	79.254
19.4479	79.454
19.5888	79.655
19.7308	79.855
19.8738	80.056
20.0178	80.257
20.1628	80.457
20.3089	80.658
20.4561	80.858
20.6043	80.926
20.7536	80.923
20.9040	80.919
21.0555	80.916
21.2081	80.913
21.3618	80.909
21.5166	80.906
21.6725	80.902
21.8295	80.899
21.9877	80.880
22.1470	80.707
22.3075	80.535
22.4692	80.363
22.6320	80.190
22.7960	80.018
22.9612	79.846
23.1276	79.674
23.2952	79.501
23.4640	79.332
23.6340	79.182
23.8053	79.032
23.9778	78.882
24.1515	78.731
24.3265	78.581
24.5028	78.431
24.6804	78.281
24.8592	78.130
25.0394	78.101
25.2208	78.110
25.4036	78.119
25.5877	78.127
25.7731	78.136
25.9598	78.145
26.1480	78.154
26.3374	78.162
26.5283	78.089
26.7205	78.000
26.9141	77.911
27.1092	77.821
27.3056	77.732
27.5035	77.643
27.7028	77.554
27.9035	77.366
28.1057	76.998
28.3094	76.630
28.5145	76.262
28.7212	75.894
28.9293	75.526
29.1389	75.158
29.3501	74.788
29.5628	74.413
29.7770	74.037
29.9928	73.662
30.2101	73.286
30.4290	72.911
30.6495	72.535
30.8716	72.245
31.0953	72.043
31.3207	71.841
31.5476	71.639
31.7762	71.437
32.0065	71.235
32.2384	71.052
32.4720	71.222
32.7073	71.391
32.9444	71.560
33.1831	71.729
33.4235	71.899
33.6657	72.068
33.9097	72.448
34.1554	72.853
34.4029	73.258
34.6522	73.663
34.9033	74.069
35.1562	74.474
35.4110	74.947
35.6676	75.420
35.9261	75.893
36.1864	76.366
36.4486	76.839
36.7128	77.317
36.9788	77.804
37.2467	78.291
37.5167	78.777
37.7885	79.264
38.0623	79.751
38.3382	79.753
38.6160	79.709
38.8958	79.666
39.1777	79.622
39.4616	79.579
39.7475	79.296
40.0355	78.904
40.3257	78.512
40.6179	78.120
40.9122	77.729
41.2087	77.225
41.5073	76.662
41.8081	76.098
42.1110	75.534
42.4162	74.971
42.7235	74.472
43.0331	73.990
43.3450	73.508
43.6591	73.026
43.9754	72.534
44.2941	71.948
44.6151	71.362
44.9384	70.776
45.2640	70.189
45.5920	69.687
45.9224	69.251
46.2552	68.815
46.5904	68.380
46.9280	68.068
47.2680	68.427
47.6105	68.785
47.9556	69.143
48.3031	69.502
48.6531	69.569
49.0056	69.603
49.3608	69.636
49.7184	69.669
50.0787	69.768
50.4416	69.888
50.8071	70.007
51.1753	70.127
51.5461	70.073
51.9197	69.961
52.2959	69.848
52.6749	69.735
53.0566	69.575
53.4410	69.405
53.8283	69.236
54.2183	69.069
54.6112	68.949
55.0070	68.828
55.4056	68.708
55.8071	68.573
56.2115	68.409
56.6188	68.246
57.0291	68.083
57.4423	68.212
57.8586	68.435
58.2779	68.659
58.7002	68.791
59.1255	68.651
59.5540	68.511
59.9855	68.371
60.4202	67.718
60.8580	66.961
61.2990	66.204
61.7432	65.518
62.1907	64.904
62.6413	64.290
63.0952	63.865
63.5525	64.051
64.0130	64.237
64.4768	64.443
64.9441	65.031
65.4147	65.619
65.8887	66.207
66.3662	66.350
66.8471	66.463
67.3315	66.576
67.8194	66.697
68.3108	66.819
68.8058	66.941
69.3044	67.485
69.8067	68.067
70.3125	68.650
70.8220	69.050
71.3352	69.450
71.8521	69.753
72.3728	69.480
72.8973	69.206
73.4255	69.146
73.9576	69.486
74.4935	69.827
75.0333	69.914
75.5770	69.835
76.1247	69.756
76.6763	69.535
77.2320	69.301
77.7916	69.072
78.3553	68.856
78.9231	68.640
79.4950	68.348
80.0711	68.021
80.6513	67.787
81.2357	68.096
81.8244	68.405
82.4173	68.423
83.0146	68.284
83.6161	68.051
84.2220	67.441
84.8323	66.831
85.4471	66.411
86.0663	66.041
86.6899	65.455
87.3181	64.573
87.9509	63.770
88.5882	63.716
89.2301	63.662
89.8767	63.961
90.5280	64.347
91.1840	64.885
91.8448	65.548
92.5103	66.066
93.1807	66.300
93.8559	66.478
94.5360	66.360
95.2211	66.240
95.9111	65.828
96.6061	65.417
97.3062	64.469
98.0113	63.458
98.7215	62.058
99.4369	60.568
100.1575	60.157
100.8832	60.085
101.6143	60.639
102.3506	61.414
103.0923	62.264
103.8393	63.140
104.5918	63.967
105.3497	64.780
106.1131	65.231
106.8821	65.616
107.6566	65.863
108.4367	66.131
109.2225	66.993
110.0139	67.811
110.8112	68.441
111.6141	68.721
112.4229	68.369
113.2376	67.492
114.0582	66.178
114.8847	66.353
115.7172	67.003
116.5557	66.843
117.4003	66.350
118.2511	64.884
119.1080	63.643
119.9711	62.602
120.8404	61.163
121.7161	59.755
122.5981	58.968
123.4865	57.797
124.3813	56.231
125.2826	54.796
126.1905	53.413
127.1049	52.129
128.0260	50.827
128.9537	49.673
129.8881	51.476
130.8294	53.059
131.7774	54.410
132.7323	55.301
133.6942	55.811
134.6630	55.812
135.6388	56.138
136.6217	56.036
137.6117	55.226
138.6089	55.000
139.6133	55.194
140.6250	55.838
141.6440	55.382
142.6704	55.064
143.7043	54.897
144.7456	54.999
145.7945	54.173
146.8510	53.705
147.9151	54.533
148.9870	54.862
150.0666	54.668
151.1541	54.053
152.2494	53.172
153.3526	53.905
154.4639	54.777
155.5832	55.499
156.7106	55.850
157.8462	55.049
158.9900	54.651
160.1422	54.385
161.3026	53.790
162.4715	51.808
163.6488	49.760
164.8347	48.175
166.0291	46.935
167.2323	46.172
168.4441	46.817
169.6647	48.182
170.8942	49.361
172.1325	49.970
173.3799	50.680
174.6363	51.641
175.9017	51.561
177.1764	51.482
178.4603	51.988
179.7535	52.429
181.0561	52.493
182.3681	53.615
183.6896	54.908
185.0207	55.286
186.3614	55.638
187.7119	55.141
189.0721	54.701
190.4422	56.308
191.8222	56.721
193.2122	57.376
194.6123	57.882
196.0226	57.918
197.4430	57.451
198.8738	57.771
200.3149	57.345
201.7665	57.193
203.2286	57.037
204.7012	56.808
206.1846	56.972
207.6787	57.445
209.1836	57.549
210.6994	57.373
212.2262	56.991
213.7641	56.457
215.3131	56.053
216.8734	55.741
218.4450	55.383
220.0279	54.993
221.6223	54.480
223.2283	53.884
224.8459	53.401
226.4752	52.994
228.1163	52.446
229.7694	51.808
231.4344	51.421
233.1114	51.191
234.8007	51.620
236.5021	52.450
238.2159	52.910
239.9421	53.152
241.6808	53.627
243.4322	54.236
245.1962	54.569
246.9730	54.748
248.7626	55.254
250.5653	55.937
252.3810	55.819
254.2098	55.281
256.0519	55.361
257.9074	55.756
259.7763	55.988
261.6587	56.139
263.5548	56.247
265.4647	56.333
267.3883	56.413
269.3259	56.490
271.2776	56.567
273.2434	56.643
275.2234	56.998
277.2178	57.474
279.2266	57.821
281.2500	58.113
283.2881	58.033
285.3409	57.803
287.4086	57.354
289.4913	56.820
291.5890	56.980
293.7020	57.405
295.8303	57.504
297.9740	57.482
300.1332	57.559
302.3081	57.672
304.4988	57.505
306.7053	57.244
308.9278	56.898
311.1664	56.524
313.4213	55.856
315.6925	55.094
317.9801	54.624
320.2843	54.244
322.6052	53.434
324.9429	52.498
327.2976	51.852
329.6693	51.288
332.0583	51.486
334.4645	51.891
336.8882	51.427
339.3294	50.735
341.7883	50.447
344.2651	50.260
346.7597	49.835
349.2725	49.352
351.8035	48.371
354.3528	47.275
356.9206	47.302
359.5070	47.577
362.1121	47.359
364.7361	47.039
367.3792	46.997
370.0413	47.010
372.7228	46.618
375.4237	46.150
378.1442	45.128
380.8844	44.007
383.6444	42.885
386.4245	41.764
389.2247	41.421
392.0451	41.203
394.8861	41.404
397.7476	41.668
400.6298	41.183
403.5329	40.591
406.4571	41.196
409.4025	41.961
412.3692	42.048
415.3574	42.050
418.3672	41.584
421.3989	41.063
424.4525	41.070
427.5283	41.133
430.6263	41.026
433.7468	40.903
436.8899	40.853
440.0558	40.810
443.2446	40.727
446.4565	40.640
449.6918	40.282
452.9504	39.903
456.2327	39.308
459.5387	38.699
462.8687	38.229
466.2229	37.768
469.6013	37.888
473.0042	38.039
476.4318	37.658
479.8842	37.254
483.3617	37.505
486.8643	37.781
490.3923	37.337
493.9459	36.871
497.5253	36.965
501.1305	37.072
504.7619	36.749
508.4196	36.420
512.1039	36.625
515.8148	36.834
519.5526	36.314
523.3175	35.794
527.1096	35.608
530.9293	35.418
534.7766	34.837
538.6518	34.251
542.5551	33.386
546.4867	32.546
550.4468	32.691
554.4355	32.834
558.4532	32.924
562.5000	32.997
566.5761	32.646
570.6818	32.330
574.8171	32.768
578.9825	33.179
583.1781	33.126
587.4040	33.088
591.6606	33.292
595.9480	33.455
600.2665	33.027
604.6163	32.620
608.9976	32.485
613.4106	32.342
617.8556	32.125
622.3329	31.909
626.8425	31.716
631.3849	31.572
635.9602	31.895
640.5686	32.249
645.2104	32.879
649.8859	33.421
654.5952	33.236
659.3387	32.980
664.1165	32.173
668.9290	31.394
673.7763	30.819
678.6588	30.323
683.5766	30.371
688.5301	30.425
693.5195	30.521
698.5450	30.628
703.6070	30.800
708.7056	30.994
713.8412	31.310
719.0140	31.533
724.2242	31.244
729.4722	30.946
734.7583	30.609
740.0827	30.318
745.4456	30.260
750.8474	30.229
756.2884	30.323
761.7687	30.370
767.2888	30.205
772.8489	29.979
778.4493	29.486
784.0903	29.180
789.7721	29.637
795.4951	29.885
801.2596	29.319
807.0659	28.782
812.9142	28.359
818.8049	28.057
824.7383	28.197
830.7147	28.357
836.7344	28.589
842.7977	28.765
848.9050	28.756
855.0565	28.640
861.2526	28.180
867.4936	27.829
873.7798	27.813
880.1116	27.820
886.4892	27.896
892.9131	27.880
899.3835	27.596
905.9008	27.435
912.4653	27.612
919.0774	27.789
925.7375	27.966
932.4457	28.082
939.2026	28.037
946.0085	28.093
952.8636	28.402
959.7685	28.561
966.7234	28.359
973.7286	28.327
980.7847	28.692
987.8918	29.024
995.0505	29.282
1002.2611	29.329
1009.5239	28.917
1016.8393	28.484
1024.2077	28.004
1031.6295	27.820
1039.1052	28.245
1046.6349	28.597
1054.2193	28.803
1061.8586	29.095
1069.5533	29.554
1077.3037	29.701
1085.1103	29.260
1092.9734	28.677
1100.8936	27.835
1108.8711	27.248
1116.9064	27.112
1125.0000	27.021
1133.1522	27.005
1141.3635	27.067
1149.6343	27.260
1157.9650	27.450
1166.3561	27.635
1174.8080	27.699
1183.3211	27.572
1191.8960	27.235
1200.5330	26.575
1209.2325	26.125
1217.9951	25.987
1226.8212	25.920
1235.7113	25.954
1244.6657	25.978
1253.6851	25.987
1262.7698	25.987
1271.9204	25.974
1281.1372	25.994
1290.4209	26.058
1299.7718	26.240
1309.1905	26.572
1318.6774	26.840
1328.2331	27.029
1337.8580	26.941
1347.5527	26.516
1357.3176	26.306
1367.1533	26.351
1377.0602	26.315
1387.0390	26.184
1397.0900	26.485
1407.2139	27.273
1417.4112	27.807
1427.6823	28.060
1438.0279	28.225
1448.4484	28.295
1458.9445	28.155
1469.5166	27.798
1480.1653	27.658
1490.8912	27.739
1501.6948	27.613
1512.5767	27.286
1523.5375	27.084
1534.5777	27.000
1545.6979	27.159
1556.8986	27.544
1568.1805	27.811
1579.5442	27.971
1590.9903	27.740
1602.5192	27.164
1614.1317	26.712
1625.8284	26.367
1637.6098	26.408
1649.4766	26.771
1661.4294	27.264
1673.4688	27.863
1685.5955	27.923
1697.8100	27.560
1710.1130	27.513
1722.5052	27.710
1734.9872	27.458
1747.5596	26.871
1760.2231	26.702
1772.9785	26.835
1785.8262	27.179
1798.7670	27.673
1811.8016	27.997
1824.9307	28.206
1838.1549	28.112
1851.4749	27.818
1864.8915	27.643
1878.4052	27.545
1892.0169	27.516
1905.7273	27.531
1919.5370	27.478
1933.4467	27.382
1947.4573	27.722
1961.5693	28.320
1975.7837	28.309
1990.1010	27.945
2004.5221	27.235
2019.0477	26.330
2033.6786	25.911
2048.4154	25.756
2063.2591	26.059
2078.2103	26.603
2093.2699	26.586
2108.4386	26.282
2123.7172	25.846
2139.1065	25.345
2154.6074	25.325
2170.2206	25.535
2185.9469	25.842
2201.7871	26.194
2217.7422	25.825
2233.8129	25.131
2250.0000	24.988
2266.3044	25.087
2282.7270	25.013
2299.2686	24.866
2315.9300	25.075
2332.7122	25.429
2349.6160	25.355
2366.6423	25.110
2383.7920	25.233
2401.0659	25.496
2418.4650	25.600
2435.9902	25.645
2453.6424	25.779
2471.4225	25.945
2489.3314	25.769
2507.3702	25.475
2525.5396	25.879
2543.8407	26.515
2562.2744	26.550
2580.8417	26.392
2599.5436	26.207
2618.3809	26.014
2637.3548	26.027
2656.4662	26.100
2675.7160	26.196
2695.1053	26.298
2714.6352	25.640
2734.3066	24.774
2754.1205	25.044
2774.0780	25.612
2794.1801	25.723
2814.4279	25.719
2834.8224	25.610
2855.3647	25.475
2876.0558	25.599
2896.8969	25.782
2917.8890	25.457
2939.0332	25.021
2960.3307	25.467
2981.7824	26.100
3003.3897	25.779
3025.1535	25.267
3047.0750	25.281
3069.1553	25.395
3091.3957	25.566
3113.7972	25.747
3136.3611	25.746
3159.0885	25.715
3181.9805	26.353
3205.0385	27.099
3228.2635	27.614
3251.6568	28.093
3275.2197	27.789
3298.9533	27.372
3322.8588	27.107
3346.9376	26.863
3371.1909	26.604
3395.6200	26.343
3420.2260	26.029
3445.0104	25.708
3469.9744	25.756
3495.1192	25.844
3520.4463	26.068
3545.9569	26.306
3571.6524	26.186
3597.5340	26.032
3623.6032	26.450
3649.8614	26.916
3676.3098	26.484
3702.9498	25.984
3729.7829	26.000
3756.8105	26.051
3784.0339	26.440
3811.4545	26.850
3839.0739	26.598
3866.8934	26.311
3894.9145	26.355
3923.1387	26.414
3951.5674	26.485
3980.2020	26.556
4009.0442	27.044
4038.0954	27.546
4067.3571	27.215
4096.8309	26.865
4126.5182	27.091
4156.4206	27.327
4186.5398	27.163
4216.8772	26.996
4247.4344	26.603
4278.2131	26.212
4309.2148	26.376
4340.4411	26.539
4371.8937	26.614
4403.5743	26.689
4435.4844	26.746
4467.6257	26.812
4500.0000	27.216
4532.6089	27.599
4565.4540	27.356
4598.5372	27.123
4631.8601	27.132
4665.4244	27.150
4699.2320	27.349
4733.2846	27.534
4767.5839	27.472
4802.1318	27.409
4836.9300	27.341
4871.9804	27.251
4907.2848	26.866
4942.8450	26.544
4978.6629	27.031
5014.7403	27.432
5051.0792	26.837
5087.6814	26.398
5124.5489	27.621
5161.6834	28.683
5199.0871	28.181
5236.7619	27.679
5274.7096	27.172
5312.9323	26.694
5351.4320	26.465
5390.2107	26.215
5429.2704	25.798
5468.6131	25.457
5508.2409	25.663
5548.1559	25.891
5588.3602	26.273
5628.8557	26.661
5669.6447	27.088
5710.7293	27.480
5752.1116	27.652
5793.7938	27.900
5835.7780	28.587
5878.0664	28.949
5920.6613	27.535
5963.5649	26.372
6006.7793	26.517
6050.3069	26.664
6094.1500	26.818
6138.3107	26.888
6182.7914	26.562
6227.5945	26.257
6272.7222	26.049
6318.1769	25.888
6363.9610	25.930
6410.0769	26.089
6456.5270	26.728
6503.3136	27.356
6550.4393	27.938
6597.9065	28.283
6645.7177	27.732
6693.8753	27.243
6742.3818	26.978
6791.2399	26.648
6840.4520	26.091
6890.0208	25.716
6939.9487	25.954
6990.2384	26.123
7040.8926	26.068
7091.9138	26.076
7143.3047	26.280
7195.0681	26.346
7247.2065	25.999
7299.7227	25.893
7352.6195	26.481
7405.8997	26.864
7459.5659	26.674
7513.6209	26.525
7568.0677	26.487
7622.9091	26.456
7678.1478	26.442
7733.7868	26.593
7789.8290	27.162
7846.2774	27.339
7903.1347	26.563
7960.4041	26.292
8018.0885	27.206
8076.1908	27.829
8134.7142	27.787
8193.6617	27.688
8253.0364	27.467
8312.8413	27.409
8373.0796	27.702
8433.7544	28.364
8494.8688	29.793
8556.4261	30.305
8618.4295	28.975
8680.8822	28.502
8743.7875	29.697
8807.1486	29.806
8870.9688	27.864
8935.2515	26.646
9000.0000	26.756
9065.2177	26.790
9130.9080	26.685
9197.0743	26.820
9263.7201	27.369
9330.8489	27.678
9398.4640	27.582
9466.5692	27.405
9535.1678	27.097
9604.2636	26.998
9673.8601	27.233
9743.9608	27.531
9814.5696	27.927
9885.6900	28.008
9957.3258	27.619
10029.4807	27.525
10102.1584	27.859
10175.3628	28.454
10249.0977	29.416
10323.3669	29.676
10398.1743	28.974
10473.5237	28.520
10549.4192	28.397
10625.8646	28.204
10702.8640	27.917
10780.4214	27.500
10858.5408	26.919
10937.2262	26.832
11016.4819	27.352
11096.3119	27.825
11176.7203	28.242
11257.7114	27.981
11339.2894	26.932
11421.4586	26.597
11504.2232	27.071
11587.5876	27.402
11671.5560	27.577
11756.1329	27.416
11841.3227	26.897
11927.1298	26.693
12013.5587	26.819
12100.6139	28.099
12188.2999	30.549
12276.6214	31.417
12365.5828	30.724
12455.1889	30.420
12545.4444	30.488
12636.3538	30.325
12727.9221	29.948
12820.1538	29.282
12913.0540	28.353
13006.6273	27.795
13100.8786	27.564
13195.8130	27.546
13291.4353	27.712
13387.7505	27.559
13484.7637	27.140
13582.4798	27.509
13680.9041	28.520
13780.0416	28.698
13879.8974	28.217
13980.4769	28.324
14081.7852	28.883
14183.8276	28.658
14286.6095	27.847
14390.1361	27.471
14494.4130	27.412
14599.4455	27.321
14705.2391	27.208
14811.7993	27.359
14919.1317	27.692
15027.2419	27.764
15136.1355	27.660
15245.8182	27.545
15356.2956	27.421
15467.5737	27.599
15579.6581	27.967
15692.5547	28.046
15806.2694	27.946
15920.8082	27.994
16036.1769	28.128
16152.3817	27.984
16269.4285	27.679
16387.3235	27.648
16506.0728	27.771
16625.6826	27.835
16746.1591	27.866
16867.5087	27.928
