# tw-L_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:56:08, uuid 38612a34-f26e-40af-9a87-aee1934236b6, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 90.75 dB\n89.1 dB C, 90.6 dB A\n90.7 dB 22 - 22k UNW\n40.0 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	50.760
4.4264	50.751
4.4585	50.741
4.4908	50.731
4.5233	50.721
4.5561	50.711
4.5891	50.701
4.6223	50.691
4.6558	50.681
4.6896	50.671
4.7236	50.661
4.7578	50.652
4.7923	50.642
4.8270	50.632
4.8620	50.622
4.8972	50.612
4.9327	50.602
4.9684	50.592
5.0044	50.582
5.0407	50.572
5.0772	50.563
5.1140	50.553
5.1511	50.543
5.1884	50.533
5.2260	50.523
5.2639	50.513
5.3020	50.503
5.3404	50.493
5.3791	50.483
5.4181	50.473
5.4574	50.464
5.4969	50.454
5.5368	50.444
5.5769	50.434
5.6173	50.424
5.6580	50.414
5.6990	50.404
5.7403	50.394
5.7819	50.384
5.8238	50.375
5.8660	50.357
5.9085	50.298
5.9513	50.239
5.9944	50.180
6.0379	50.121
6.0816	50.063
6.1257	50.004
6.1701	49.945
6.2148	49.886
6.2598	49.827
6.3052	49.768
6.3509	49.709
6.3969	49.650
6.4433	49.592
6.4900	49.533
6.5370	49.474
6.5844	49.415
6.6321	49.356
6.6801	49.297
6.7285	49.238
6.7773	49.179
6.8264	49.121
6.8759	49.062
6.9257	49.003
6.9759	48.944
7.0264	48.885
7.0774	48.826
7.1286	48.767
7.1803	48.708
7.2323	48.650
7.2847	48.591
7.3375	48.542
7.3907	48.526
7.4442	48.509
7.4982	48.492
7.5525	48.475
7.6073	48.458
7.6624	48.442
7.7179	48.425
7.7738	48.408
7.8302	48.391
7.8869	48.375
7.9441	48.358
8.0016	48.341
8.0596	48.324
8.1180	48.307
8.1768	48.291
8.2361	48.274
8.2958	48.257
8.3559	48.240
8.4164	48.223
8.4774	48.207
8.5389	48.190
8.6007	48.173
8.6631	48.156
8.7258	48.140
8.7891	48.123
8.8528	48.079
8.9169	48.034
8.9815	47.990
9.0466	47.946
9.1122	47.902
9.1782	47.858
9.2447	47.813
9.3117	47.769
9.3792	47.725
9.4471	47.681
9.5156	47.637
9.5845	47.593
9.6540	47.548
9.7240	47.504
9.7944	47.460
9.8654	47.416
9.9369	47.372
10.0089	47.327
10.0814	47.283
10.1545	47.239
10.2281	47.195
10.3022	47.155
10.3768	47.117
10.4520	47.079
10.5278	47.041
10.6040	47.003
10.6809	46.965
10.7583	46.926
10.8362	46.888
10.9148	46.850
10.9939	46.812
11.0735	46.774
11.1538	46.736
11.2346	46.698
11.3160	46.660
11.3980	46.622
