# tw-R_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:56:35, uuid d68823c8-ad0f-45d6-b6ff-6bcfb7fb77da, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 89.67 dB\n87.6 dB C, 89.0 dB A\n89.6 dB 22 - 22k UNW\n40.1 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	50.872
4.4264	50.873
4.4585	50.875
4.4908	50.876
4.5233	50.878
4.5561	50.879
4.5891	50.881
4.6223	50.882
4.6558	50.884
4.6896	50.885
4.7236	50.887
4.7578	50.888
4.7923	50.889
4.8270	50.891
4.8620	50.892
4.8972	50.894
4.9327	50.895
4.9684	50.897
5.0044	50.898
5.0407	50.900
5.0772	50.901
5.1140	50.903
5.1511	50.904
5.1884	50.905
5.2260	50.907
5.2639	50.908
5.3020	50.910
5.3404	50.911
5.3791	50.913
5.4181	50.914
5.4574	50.916
5.4969	50.917
5.5368	50.919
5.5769	50.920
5.6173	50.921
5.6580	50.923
5.6990	50.924
5.7403	50.926
5.7819	50.927
5.8238	50.929
5.8660	50.929
5.9085	50.924
5.9513	50.919
5.9944	50.914
6.0379	50.909
6.0816	50.904
6.1257	50.899
6.1701	50.894
6.2148	50.889
6.2598	50.884
6.3052	50.879
6.3509	50.874
6.3969	50.869
6.4433	50.864
6.4900	50.859
6.5370	50.854
6.5844	50.850
6.6321	50.845
6.6801	50.840
6.7285	50.835
6.7773	50.830
6.8264	50.825
6.8759	50.820
6.9257	50.815
6.9759	50.810
7.0264	50.805
7.0774	50.800
7.1286	50.795
7.1803	50.790
7.2323	50.785
7.2847	50.780
7.3375	50.764
7.3907	50.717
7.4442	50.669
7.4982	50.622
7.5525	50.574
7.6073	50.527
7.6624	50.479
7.7179	50.432
7.7738	50.384
7.8302	50.337
7.8869	50.289
7.9441	50.242
8.0016	50.195
8.0596	50.147
8.1180	50.100
8.1768	50.052
8.2361	50.005
8.2958	49.957
8.3559	49.910
8.4164	49.862
8.4774	49.815
8.5389	49.767
8.6007	49.720
8.6631	49.672
8.7258	49.625
8.7891	49.577
8.8528	49.493
8.9169	49.410
8.9815	49.326
9.0466	49.242
9.1122	49.158
9.1782	49.074
9.2447	48.990
9.3117	48.906
9.3792	48.822
9.4471	48.738
9.5156	48.654
9.5845	48.570
9.6540	48.486
9.7240	48.402
9.7944	48.318
9.8654	48.234
9.9369	48.150
10.0089	48.066
10.0814	47.982
10.1545	47.898
10.2281	47.814
10.3022	47.719
10.3768	47.619
10.4520	47.520
10.5278	47.420
10.6040	47.320
10.6809	47.220
10.7583	47.120
10.8362	47.020
10.9148	46.921
10.9939	46.821
11.0735	46.721
11.1538	46.621
11.2346	46.521
11.3160	46.421
11.3980	46.322
11.4806	46.222
11.5638	46.122
11.6476	46.022
11.7320	45.940
11.8170	45.957
11.9026	45.974
11.9889	45.991
12.0758	46.007
12.1633	46.024
12.2514	46.041
12.3402	46.058
12.4296	46.074
12.5197	46.091
12.6104	46.108
12.7018	46.124
12.7938	46.141
12.8865	46.158
12.9799	46.175
13.0740	46.191
13.1687	46.208
13.2641	46.167
13.3603	46.116
13.4571	46.064
13.5546	46.013
13.6528	45.962
13.7517	45.910
13.8514	45.859
13.9518	45.807
14.0529	45.756
14.1547	45.704
14.2573	45.653
14.3606	45.602
14.4646	45.550
14.5695	45.499
14.6750	45.444
14.7814	45.378
14.8885	45.313
14.9964	45.248
15.1051	45.182
15.2145	45.117
15.3248	45.051
15.4358	44.986
15.5477	44.921
15.6603	44.855
15.7738	44.790
15.8881	44.724
16.0032	44.659
16.1192	44.592
16.2360	44.485
16.3537	44.379
16.4722	44.273
16.5915	44.167
16.7118	44.061
16.8329	43.955
16.9548	43.849
17.0777	43.743
17.2015	43.637
17.3261	43.530
17.4517	43.424
17.5781	43.318
17.7055	43.463
17.8338	43.607
17.9630	43.752
18.0932	43.897
18.2243	44.041
18.3564	44.186
18.4894	44.330
18.6234	44.475
18.7583	44.620
