# w-L_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field 1/48 (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:54:07, uuid ef3deb1a-b70f-40df-b910-8eaf3580cff8, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 93.00 dB\n92.2 dB C, 85.6 dB A\n92.6 dB 22 - 22k UNW\n41.9 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	54.931
4.4264	54.964
4.4585	55.003
4.4908	55.043
4.5233	55.083
4.5561	55.124
4.5891	55.164
4.6223	55.204
4.6558	55.245
4.6896	55.285
4.7236	55.325
4.7578	55.365
4.7923	55.406
4.8270	55.446
4.8620	55.486
4.8972	55.527
4.9327	55.567
4.9684	55.607
5.0044	55.648
5.0407	55.688
5.0772	55.728
5.1140	55.768
5.1511	55.809
5.1884	55.849
5.2260	55.889
5.2639	55.930
5.3020	55.970
5.3404	56.010
5.3791	56.051
5.4181	56.091
5.4574	56.131
5.4969	56.171
5.5368	56.212
5.5769	56.252
5.6173	56.292
5.6580	56.333
5.6990	56.373
5.7403	56.413
5.7819	56.454
5.8238	56.496
5.8660	56.546
5.9085	56.615
5.9513	56.688
5.9944	56.762
6.0379	56.836
6.0816	56.910
6.1257	56.984
6.1701	57.058
6.2148	57.132
6.2598	57.206
6.3052	57.280
6.3509	57.354
6.3969	57.428
6.4433	57.502
6.4900	57.577
6.5370	57.651
6.5844	57.725
6.6321	57.799
6.6801	57.873
6.7285	57.947
6.7773	58.021
6.8264	58.095
6.8759	58.169
6.9257	58.243
6.9759	58.317
7.0264	58.391
7.0774	58.465
7.1286	58.539
7.1803	58.613
7.2323	58.688
7.2847	58.762
7.3375	58.838
7.3907	58.916
7.4442	58.995
7.4982	59.075
7.5525	59.154
7.6073	59.233
7.6624	59.312
7.7179	59.391
7.7738	59.471
7.8302	59.550
7.8869	59.629
7.9441	59.708
8.0016	59.787
8.0596	59.867
8.1180	59.946
8.1768	60.025
8.2361	60.104
8.2958	60.183
8.3559	60.263
8.4164	60.342
8.4774	60.421
8.5389	60.500
8.6007	60.579
