# w-R_01 (rta) — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Jun-15 14:54:37, uuid ca8c68bc-f90d-4255-9aa1-008e6c7b4109, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 94.48 dB\n93.5 dB C, 87.8 dB A\n94.0 dB 22 - 22k UNW\n39.6 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	55.756
4.4264	55.831
4.4585	55.906
4.4908	55.981
4.5233	56.057
4.5561	56.132
4.5891	56.207
4.6223	56.282
4.6558	56.357
4.6896	56.433
4.7236	56.508
4.7578	56.583
4.7923	56.658
4.8270	56.733
4.8620	56.809
4.8972	56.884
4.9327	56.959
4.9684	57.034
5.0044	57.109
5.0407	57.185
5.0772	57.260
5.1140	57.335
5.1511	57.410
5.1884	57.485
5.2260	57.561
5.2639	57.636
5.3020	57.711
5.3404	57.786
5.3791	57.861
5.4181	57.937
5.4574	58.012
5.4969	58.087
5.5368	58.162
5.5769	58.237
5.6173	58.312
5.6580	58.388
5.6990	58.463
5.7403	58.538
5.7819	58.613
5.8238	58.688
5.8660	58.766
5.9085	58.857
5.9513	58.948
5.9944	59.039
6.0379	59.130
6.0816	59.221
6.1257	59.311
6.1701	59.402
6.2148	59.493
6.2598	59.584
6.3052	59.675
6.3509	59.766
6.3969	59.857
6.4433	59.948
6.4900	60.038
6.5370	60.129
6.5844	60.220
6.6321	60.311
6.6801	60.402
6.7285	60.493
6.7773	60.584
6.8264	60.675
6.8759	60.765
6.9257	60.856
6.9759	60.947
7.0264	61.038
7.0774	61.129
7.1286	61.220
7.1803	61.311
7.2323	61.402
7.2847	61.492
7.3375	61.573
7.3907	61.622
7.4442	61.671
7.4982	61.721
7.5525	61.770
7.6073	61.819
7.6624	61.869
7.7179	61.918
7.7738	61.967
7.8302	62.016
7.8869	62.066
7.9441	62.115
8.0016	62.164
8.0596	62.214
8.1180	62.263
8.1768	62.312
8.2361	62.361
8.2958	62.411
8.3559	62.460
8.4164	62.509
8.4774	62.559
8.5389	62.608
8.6007	62.657
8.6631	62.707
8.7258	62.756
8.7891	62.805
8.8528	62.825
8.9169	62.844
8.9815	62.864
9.0466	62.883
9.1122	62.903
9.1782	62.922
9.2447	62.942
9.3117	62.961
9.3792	62.981
9.4471	63.000
9.5156	63.020
9.5845	63.039
9.6540	63.059
9.7240	63.078
9.7944	63.098
9.8654	63.117
9.9369	63.137
10.0089	63.156
10.0814	63.176
10.1545	63.195
10.2281	63.215
10.3022	63.270
10.3768	63.344
10.4520	63.419
10.5278	63.494
10.6040	63.568
10.6809	63.643
10.7583	63.717
10.8362	63.792
10.9148	63.866
10.9939	63.941
11.0735	64.015
11.1538	64.090
11.2346	64.165
11.3160	64.239
11.3980	64.314
11.4806	64.388
11.5638	64.463
11.6476	64.537
11.7320	64.608
11.8170	64.659
11.9026	64.710
11.9889	64.760
12.0758	64.811
12.1633	64.862
12.2514	64.913
12.3402	64.963
12.4296	65.014
12.5197	65.065
12.6104	65.115
12.7018	65.166
12.7938	65.217
12.8865	65.268
12.9799	65.318
13.0740	65.369
13.1687	65.420
13.2641	65.374
13.3603	65.309
13.4571	65.245
13.5546	65.181
13.6528	65.117
13.7517	65.052
13.8514	64.988
13.9518	64.924
14.0529	64.860
14.1547	64.796
14.2573	64.731
14.3606	64.667
