# m-L_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:21:14, uuid 2d9142a1-81b5-4b83-85e0-c6a905354370, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 71.74 dB\n71.5 dB C, 71.8 dB A\n71.7 dB 22 - 22k UNW\n25.0 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	33.425
4.4264	33.422
4.4585	33.420
4.4908	33.418
4.5233	33.416
4.5561	33.413
4.5891	33.411
4.6223	33.409
4.6558	33.407
4.6896	33.404
4.7236	33.402
4.7578	33.400
4.7923	33.397
4.8270	33.395
4.8620	33.393
4.8972	33.391
4.9327	33.388
4.9684	33.386
5.0044	33.384
5.0407	33.382
5.0772	33.379
5.1140	33.377
5.1511	33.375
5.1884	33.373
5.2260	33.370
5.2639	33.368
5.3020	33.366
5.3404	33.364
5.3791	33.361
5.4181	33.359
5.4574	33.357
5.4969	33.354
5.5368	33.352
5.5769	33.350
5.6173	33.348
5.6580	33.345
5.6990	33.343
5.7403	33.341
5.7819	33.339
5.8238	33.336
5.8660	33.332
5.9085	33.320
5.9513	33.307
5.9944	33.295
6.0379	33.282
6.0816	33.270
6.1257	33.257
6.1701	33.245
6.2148	33.232
6.2598	33.219
6.3052	33.207
6.3509	33.194
6.3969	33.182
6.4433	33.169
6.4900	33.157
6.5370	33.144
6.5844	33.131
6.6321	33.119
6.6801	33.106
6.7285	33.094
6.7773	33.081
6.8264	33.069
6.8759	33.056
6.9257	33.043
6.9759	33.031
7.0264	33.018
7.0774	33.006
7.1286	32.993
7.1803	32.981
7.2323	32.968
7.2847	32.955
7.3375	32.952
7.3907	32.975
7.4442	32.999
7.4982	33.022
7.5525	33.045
7.6073	33.069
7.6624	33.092
7.7179	33.115
7.7738	33.139
7.8302	33.162
7.8869	33.185
7.9441	33.209
8.0016	33.232
8.0596	33.256
8.1180	33.279
8.1768	33.302
8.2361	33.326
8.2958	33.349
8.3559	33.372
8.4164	33.396
8.4774	33.419
8.5389	33.442
8.6007	33.466
8.6631	33.489
8.7258	33.512
8.7891	33.536
8.8528	33.477
8.9169	33.418
8.9815	33.360
9.0466	33.301
9.1122	33.242
9.1782	33.183
9.2447	33.125
9.3117	33.066
9.3792	33.007
9.4471	32.948
9.5156	32.890
9.5845	32.831
9.6540	32.772
9.7240	32.714
9.7944	32.655
9.8654	32.596
9.9369	32.537
10.0089	32.479
10.0814	32.420
10.1545	32.361
10.2281	32.302
10.3022	32.238
10.3768	32.170
10.4520	32.102
10.5278	32.035
10.6040	31.967
10.6809	31.899
10.7583	31.832
10.8362	31.764
10.9148	31.696
10.9939	31.628
11.0735	31.561
11.1538	31.493
