# m-R_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:21:42, uuid 2b04fc7d-f397-4f7e-858c-bf3ea99147aa, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 75.41 dB\n75.3 dB C, 75.3 dB A\n75.4 dB 22 - 22k UNW\n25.0 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	32.635
4.4264	32.632
4.4585	32.628
4.4908	32.625
4.5233	32.621
4.5561	32.618
4.5891	32.614
4.6223	32.610
4.6558	32.607
4.6896	32.603
4.7236	32.600
4.7578	32.596
4.7923	32.593
4.8270	32.589
4.8620	32.586
4.8972	32.582
4.9327	32.578
4.9684	32.575
5.0044	32.571
5.0407	32.568
5.0772	32.564
5.1140	32.561
5.1511	32.557
5.1884	32.554
5.2260	32.550
5.2639	32.546
5.3020	32.543
5.3404	32.539
5.3791	32.536
5.4181	32.532
5.4574	32.529
5.4969	32.525
5.5368	32.522
5.5769	32.518
5.6173	32.514
5.6580	32.511
5.6990	32.507
5.7403	32.504
5.7819	32.500
5.8238	32.497
5.8660	32.495
5.9085	32.500
5.9513	32.506
5.9944	32.512
6.0379	32.518
6.0816	32.523
6.1257	32.529
6.1701	32.535
6.2148	32.541
6.2598	32.547
6.3052	32.552
6.3509	32.558
6.3969	32.564
6.4433	32.570
6.4900	32.575
6.5370	32.581
6.5844	32.587
6.6321	32.593
6.6801	32.599
6.7285	32.604
6.7773	32.610
6.8264	32.616
6.8759	32.622
6.9257	32.627
6.9759	32.633
7.0264	32.639
7.0774	32.645
7.1286	32.651
7.1803	32.656
7.2323	32.662
7.2847	32.668
7.3375	32.665
7.3907	32.635
7.4442	32.606
7.4982	32.576
7.5525	32.546
7.6073	32.517
7.6624	32.487
7.7179	32.457
7.7738	32.428
7.8302	32.398
7.8869	32.369
7.9441	32.339
8.0016	32.309
8.0596	32.280
8.1180	32.250
8.1768	32.221
8.2361	32.191
8.2958	32.161
8.3559	32.132
8.4164	32.102
8.4774	32.073
8.5389	32.043
8.6007	32.013
8.6631	31.984
8.7258	31.954
8.7891	31.924
8.8528	31.830
8.9169	31.736
8.9815	31.641
9.0466	31.547
9.1122	31.452
9.1782	31.358
9.2447	31.264
9.3117	31.169
9.3792	31.075
9.4471	30.980
9.5156	30.886
9.5845	30.791
9.6540	30.697
9.7240	30.603
9.7944	30.508
9.8654	30.414
9.9369	30.319
10.0089	30.225
10.0814	30.131
