# L_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:24:08, uuid 1d24b8b3-319d-4c62-94a5-a144ce1d1b02, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 77.71 dB\n77.3 dB C, 73.4 dB A\n77.7 dB 22 - 22k UNW\n46.5 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	30.308
4.4264	30.345
4.4585	30.382
4.4908	30.420
4.5233	30.457
4.5561	30.494
4.5891	30.531
4.6223	30.568
4.6558	30.605
4.6896	30.642
4.7236	30.679
4.7578	30.716
4.7923	30.753
4.8270	30.791
4.8620	30.828
4.8972	30.865
4.9327	30.902
4.9684	30.939
5.0044	30.976
5.0407	31.013
5.0772	31.050
5.1140	31.087
5.1511	31.124
5.1884	31.161
5.2260	31.199
5.2639	31.236
5.3020	31.273
5.3404	31.310
5.3791	31.347
5.4181	31.384
5.4574	31.421
5.4969	31.458
5.5368	31.495
5.5769	31.532
5.6173	31.570
5.6580	31.607
5.6990	31.644
5.7403	31.681
5.7819	31.718
5.8238	31.755
5.8660	31.785
5.9085	31.778
5.9513	31.772
5.9944	31.765
6.0379	31.758
6.0816	31.751
6.1257	31.744
6.1701	31.738
6.2148	31.731
6.2598	31.724
6.3052	31.717
6.3509	31.710
6.3969	31.703
6.4433	31.697
6.4900	31.690
6.5370	31.683
6.5844	31.676
6.6321	31.669
6.6801	31.663
6.7285	31.656
6.7773	31.649
6.8264	31.642
6.8759	31.635
6.9257	31.629
6.9759	31.622
7.0264	31.615
7.0774	31.608
7.1286	31.601
7.1803	31.594
7.2323	31.588
7.2847	31.581
7.3375	31.560
7.3907	31.497
7.4442	31.435
7.4982	31.372
7.5525	31.309
7.6073	31.247
7.6624	31.184
7.7179	31.121
7.7738	31.058
7.8302	30.996
7.8869	30.933
7.9441	30.870
8.0016	30.808
8.0596	30.745
8.1180	30.682
8.1768	30.620
8.2361	30.557
8.2958	30.494
8.3559	30.432
8.4164	30.369
8.4774	30.306
8.5389	30.244
8.6007	30.181
8.6631	30.118
8.7258	30.055
