# R_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:24:50, uuid 6bc21c5d-7b50-4209-ba56-63fb9d39b439, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 80.31 dB\n79.8 dB C, 76.8 dB A\n80.3 dB 22 - 22k UNW\n51.1 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	30.505
4.4264	30.511
4.4585	30.518
4.4908	30.524
4.5233	30.530
4.5561	30.537
4.5891	30.543
4.6223	30.550
4.6558	30.556
4.6896	30.563
4.7236	30.569
4.7578	30.576
4.7923	30.582
4.8270	30.589
4.8620	30.595
4.8972	30.602
4.9327	30.608
4.9684	30.615
5.0044	30.621
5.0407	30.627
5.0772	30.634
5.1140	30.640
5.1511	30.647
5.1884	30.653
5.2260	30.660
5.2639	30.666
5.3020	30.673
5.3404	30.679
5.3791	30.686
5.4181	30.692
5.4574	30.699
5.4969	30.705
5.5368	30.712
5.5769	30.718
5.6173	30.724
5.6580	30.731
5.6990	30.737
5.7403	30.744
5.7819	30.750
5.8238	30.757
5.8660	30.766
5.9085	30.788
5.9513	30.811
5.9944	30.834
6.0379	30.856
6.0816	30.879
6.1257	30.902
6.1701	30.924
6.2148	30.947
6.2598	30.970
6.3052	30.992
6.3509	31.015
6.3969	31.038
6.4433	31.060
6.4900	31.083
6.5370	31.106
6.5844	31.128
6.6321	31.151
6.6801	31.174
6.7285	31.196
6.7773	31.219
6.8264	31.242
6.8759	31.264
6.9257	31.287
6.9759	31.310
7.0264	31.332
7.0774	31.355
7.1286	31.378
7.1803	31.400
7.2323	31.423
7.2847	31.446
7.3375	31.462
7.3907	31.459
7.4442	31.456
7.4982	31.453
7.5525	31.451
7.6073	31.448
7.6624	31.445
7.7179	31.442
7.7738	31.439
7.8302	31.436
7.8869	31.434
7.9441	31.431
8.0016	31.428
8.0596	31.425
8.1180	31.422
8.1768	31.420
8.2361	31.417
8.2958	31.414
8.3559	31.411
8.4164	31.408
8.4774	31.405
8.5389	31.403
8.6007	31.400
8.6631	31.397
8.7258	31.394
8.7891	31.391
8.8528	31.386
8.9169	31.380
8.9815	31.374
9.0466	31.368
9.1122	31.362
9.1782	31.357
9.2447	31.351
9.3117	31.345
9.3792	31.339
9.4471	31.334
9.5156	31.328
9.5845	31.322
9.6540	31.316
9.7240	31.310
9.7944	31.305
9.8654	31.299
9.9369	31.293
10.0089	31.287
10.0814	31.281
10.1545	31.276
10.2281	31.270
10.3022	31.234
10.3768	31.183
10.4520	31.131
10.5278	31.080
10.6040	31.028
10.6809	30.977
10.7583	30.925
10.8362	30.874
10.9148	30.822
10.9939	30.771
11.0735	30.719
11.1538	30.668
11.2346	30.616
11.3160	30.564
11.3980	30.513
11.4806	30.461
11.5638	30.410
11.6476	30.358
11.7320	30.294
11.8170	30.161
11.9026	30.027
11.9889	29.894
12.0758	29.760
12.1633	29.627
12.2514	29.494
12.3402	29.360
12.4296	29.227
12.5197	29.094
12.6104	28.960
12.7018	28.827
