# ALL_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:25:24, uuid c9a754c2-6555-49df-aa42-ceae64aaff6c, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 88.02 dB\n85.4 dB C, 78.5 dB A\n86.0 dB 22 - 22k UNW\n52.3 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	41.198
4.4264	41.392
4.4585	41.585
4.4908	41.778
4.5233	41.972
4.5561	42.165
4.5891	42.358
4.6223	42.552
4.6558	42.745
4.6896	42.938
4.7236	43.132
4.7578	43.325
4.7923	43.518
4.8270	43.712
4.8620	43.905
4.8972	44.098
4.9327	44.291
4.9684	44.485
5.0044	44.678
5.0407	44.871
5.0772	45.065
5.1140	45.258
5.1511	45.451
5.1884	45.645
5.2260	45.838
5.2639	46.031
5.3020	46.225
5.3404	46.418
5.3791	46.611
5.4181	46.805
5.4574	46.998
5.4969	47.191
5.5368	47.385
5.5769	47.578
5.6173	47.771
5.6580	47.965
5.6990	48.158
5.7403	48.351
5.7819	48.544
5.8238	48.738
5.8660	48.932
5.9085	49.133
5.9513	49.334
5.9944	49.536
6.0379	49.737
6.0816	49.938
6.1257	50.139
6.1701	50.340
6.2148	50.541
6.2598	50.742
6.3052	50.943
6.3509	51.144
6.3969	51.345
6.4433	51.546
6.4900	51.747
6.5370	51.948
6.5844	52.149
6.6321	52.350
6.6801	52.551
6.7285	52.752
6.7773	52.954
6.8264	53.155
6.8759	53.356
6.9257	53.557
6.9759	53.758
7.0264	53.959
7.0774	54.160
7.1286	54.361
7.1803	54.562
7.2323	54.763
7.2847	54.964
7.3375	55.144
7.3907	55.260
7.4442	55.376
7.4982	55.492
7.5525	55.608
7.6073	55.724
7.6624	55.840
7.7179	55.957
7.7738	56.073
7.8302	56.189
7.8869	56.305
7.9441	56.421
8.0016	56.537
8.0596	56.653
8.1180	56.769
8.1768	56.885
8.2361	57.001
8.2958	57.118
8.3559	57.234
8.4164	57.350
8.4774	57.466
8.5389	57.582
8.6007	57.698
8.6631	57.814
8.7258	57.930
8.7891	58.046
8.8528	58.105
8.9169	58.164
8.9815	58.223
9.0466	58.282
9.1122	58.341
9.1782	58.400
9.2447	58.459
9.3117	58.518
9.3792	58.577
9.4471	58.636
9.5156	58.695
9.5845	58.754
9.6540	58.813
9.7240	58.872
9.7944	58.931
9.8654	58.990
9.9369	59.049
10.0089	59.108
10.0814	59.167
10.1545	59.226
10.2281	59.285
10.3022	59.357
10.3768	59.435
10.4520	59.513
10.5278	59.591
10.6040	59.669
10.6809	59.747
10.7583	59.825
10.8362	59.903
10.9148	59.981
10.9939	60.059
11.0735	60.137
11.1538	60.215
11.2346	60.293
11.3160	60.371
11.3980	60.449
11.4806	60.527
11.5638	60.605
11.6476	60.684
11.7320	60.763
11.8170	60.847
11.9026	60.932
11.9889	61.017
12.0758	61.102
12.1633	61.186
12.2514	61.271
12.3402	61.356
12.4296	61.441
12.5197	61.525
12.6104	61.610
12.7018	61.695
12.7938	61.780
12.8865	61.864
12.9799	61.949
13.0740	62.034
13.1687	62.119
13.2641	62.275
13.3603	62.445
13.4571	62.615
13.5546	62.785
13.6528	62.955
13.7517	63.125
13.8514	63.295
13.9518	63.465
14.0529	63.635
14.1547	63.805
14.2573	63.975
14.3606	64.145
14.4646	64.315
14.5695	64.485
14.6750	64.640
14.7814	64.752
14.8885	64.863
14.9964	64.975
15.1051	65.086
15.2145	65.198
15.3248	65.309
15.4358	65.421
15.5477	65.532
15.6603	65.644
15.7738	65.755
15.8881	65.867
16.0032	65.978
16.1192	66.085
16.2360	66.117
16.3537	66.149
16.4722	66.181
16.5915	66.212
16.7118	66.244
16.8329	66.276
16.9548	66.308
17.0777	66.339
17.2015	66.371
17.3261	66.403
17.4517	66.435
17.5781	66.466
17.7055	66.577
17.8338	66.688
17.9630	66.798
18.0932	66.909
18.2243	67.019
18.3564	67.130
18.4894	67.240
18.6234	67.351
18.7583	67.461
18.8943	67.572
19.0312	67.682
19.1691	67.842
19.3080	68.007
19.4479	68.172
19.5888	68.336
19.7308	68.501
19.8738	68.666
20.0178	68.831
20.1628	68.995
20.3089	69.160
20.4561	69.325
20.6043	69.410
20.7536	69.453
20.9040	69.496
21.0555	69.539
21.2081	69.581
21.3618	69.624
21.5166	69.667
21.6725	69.710
21.8295	69.753
21.9877	69.771
22.1470	69.560
22.3075	69.349
22.4692	69.138
22.6320	68.927
22.7960	68.716
22.9612	68.505
23.1276	68.294
23.2952	68.083
23.4640	67.861
23.6340	67.582
23.8053	67.302
23.9778	67.023
24.1515	66.744
24.3265	66.464
24.5028	66.185
24.6804	65.906
24.8592	65.627
25.0394	65.416
25.2208	65.227
25.4036	65.038
25.5877	64.849
25.7731	64.660
25.9598	64.471
26.1480	64.281
26.3374	64.092
26.5283	63.996
26.7205	63.916
26.9141	63.837
27.1092	63.757
27.3056	63.678
27.5035	63.598
27.7028	63.518
27.9035	63.417
28.1057	63.278
28.3094	63.138
28.5145	62.998
28.7212	62.858
28.9293	62.718
29.1389	62.579
29.3501	62.426
29.5628	62.233
29.7770	62.041
29.9928	61.848
30.2101	61.655
30.4290	61.463
30.6495	61.270
30.8716	61.002
31.0953	60.657
31.3207	60.311
31.5476	59.966
31.7762	59.621
32.0065	59.275
32.2384	58.946
32.4720	58.919
32.7073	58.893
32.9444	58.866
33.1831	58.839
33.4235	58.812
33.6657	58.786
33.9097	59.299
34.1554	59.876
34.4029	60.454
34.6522	61.031
34.9033	61.608
35.1562	62.186
35.4110	62.688
35.6676	63.189
35.9261	63.691
36.1864	64.193
36.4486	64.694
36.7128	65.129
36.9788	65.436
37.2467	65.744
37.5167	66.051
37.7885	66.359
38.0623	66.666
38.3382	66.664
38.6160	66.632
38.8958	66.601
39.1777	66.569
39.4616	66.538
39.7475	66.382
40.0355	66.169
40.3257	65.957
40.6179	65.744
40.9122	65.531
41.2087	65.301
41.5073	65.060
41.8081	64.820
42.1110	64.580
42.4162	64.339
42.7235	63.840
43.0331	63.273
43.3450	62.705
43.6591	62.137
43.9754	61.574
44.2941	61.051
44.6151	60.528
44.9384	60.006
45.2640	59.483
45.5920	59.449
45.9224	59.810
46.2552	60.172
46.5904	60.533
46.9280	60.864
47.2680	61.032
47.6105	61.200
47.9556	61.368
48.3031	61.536
48.6531	61.281
49.0056	60.976
49.3608	60.671
49.7184	60.366
50.0787	60.431
50.4416	60.613
50.8071	60.795
51.1753	60.978
51.5461	61.244
51.9197	61.538
52.2959	61.833
52.6749	62.128
53.0566	62.359
53.4410	62.580
53.8283	62.800
54.2183	63.015
54.6112	63.134
55.0070	63.253
55.4056	63.372
55.8071	63.424
56.2115	63.354
56.6188	63.285
57.0291	63.215
57.4423	63.238
57.8586	63.290
58.2779	63.342
58.7002	63.379
59.1255	63.371
59.5540	63.363
59.9855	63.355
60.4202	63.171
60.8580	62.952
61.2990	62.733
61.7432	62.584
62.1907	62.507
62.6413	62.431
63.0952	62.341
63.5525	62.210
64.0130	62.078
64.4768	61.966
64.9441	62.219
65.4147	62.471
65.8887	62.724
66.3662	63.000
66.8471	63.278
67.3315	63.555
67.8194	63.939
68.3108	64.336
68.8058	64.732
69.3044	64.960
69.8067	65.172
70.3125	65.384
70.8220	65.402
71.3352	65.419
71.8521	65.422
72.3728	65.334
72.8973	65.247
73.4255	65.109
73.9576	64.877
74.4935	64.645
75.0333	64.493
75.5770	64.392
76.1247	64.291
76.6763	63.881
77.2320	63.442
77.7916	63.222
78.3553	63.575
78.9231	63.929
79.4950	64.020
80.0711	63.992
80.6513	63.906
81.2357	63.480
81.8244	63.054
82.4173	63.157
83.0146	63.546
83.6161	63.944
84.2220	64.385
84.8323	64.826
85.4471	65.029
86.0663	65.169
86.6899	65.197
87.3181	65.074
87.9509	64.950
88.5882	64.828
89.2301	64.706
89.8767	64.322
90.5280	63.874
91.1840	63.333
91.8448	62.717
92.5103	62.415
93.1807	62.734
93.8559	63.012
94.5360	63.075
95.2211	63.133
95.9111	62.639
96.6061	62.146
97.3062	62.318
98.0113	62.569
98.7215	62.602
99.4369	62.583
100.1575	62.033
100.8832	61.314
101.6143	60.996
102.3506	60.821
103.0923	60.624
103.8393	60.420
104.5918	60.076
105.3497	59.694
106.1131	59.104
106.8821	58.476
107.6566	58.903
108.4367	59.391
109.2225	59.596
110.0139	59.848
110.8112	60.297
111.6141	60.762
112.4229	61.258
113.2376	61.458
114.0582	61.412
114.8847	61.493
115.7172	61.614
116.5557	62.441
117.4003	63.081
118.2511	63.152
119.1080	63.573
119.9711	64.303
120.8404	64.833
121.7161	65.168
122.5981	64.655
123.4865	64.291
124.3813	64.079
125.2826	64.096
126.1905	64.043
127.1049	63.639
128.0260	63.680
128.9537	63.976
129.8881	64.211
130.8294	64.230
131.7774	64.020
132.7323	63.277
133.6942	62.425
134.6630	61.467
135.6388	61.609
136.6217	61.590
137.6117	61.130
138.6089	60.229
139.6133	59.649
140.6250	59.512
141.6440	59.383
142.6704	59.596
143.7043	60.000
144.7456	59.970
145.7945	60.014
146.8510	60.372
147.9151	61.272
148.9870	61.042
150.0666	60.439
151.1541	59.746
152.2494	59.438
153.3526	59.544
154.4639	59.187
155.5832	58.411
156.7106	57.459
157.8462	55.697
158.9900	54.505
160.1422	53.872
161.3026	53.647
162.4715	53.371
163.6488	52.473
164.8347	51.388
166.0291	49.930
167.2323	48.469
168.4441	48.747
169.6647	50.739
170.8942	51.594
172.1325	52.618
173.3799	53.708
174.6363	54.715
175.9017	56.382
177.1764	57.147
178.4603	58.482
179.7535	58.035
181.0561	57.695
182.3681	58.652
183.6896	59.859
185.0207	60.081
186.3614	60.034
187.7119	60.624
189.0721	61.060
190.4422	61.352
191.8222	61.644
193.2122	62.045
194.6123	62.407
196.0226	61.867
197.4430	61.022
198.8738	60.341
200.3149	60.017
201.7665	59.977
203.2286	59.706
204.7012	59.329
