# SW+Ws_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:23:32, uuid 62c37092-1777-4c3c-add6-f36bc013ed91, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 87.62 dB\n84.6 dB C, 66.9 dB A\n85.3 dB 22 - 22k UNW\n25.0 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	42.585
4.4264	42.771
4.4585	42.957
4.4908	43.143
4.5233	43.329
4.5561	43.516
4.5891	43.702
4.6223	43.888
4.6558	44.074
4.6896	44.260
4.7236	44.446
4.7578	44.632
4.7923	44.819
4.8270	45.005
4.8620	45.191
4.8972	45.377
4.9327	45.563
4.9684	45.749
5.0044	45.935
5.0407	46.121
5.0772	46.308
5.1140	46.494
5.1511	46.680
5.1884	46.866
5.2260	47.052
5.2639	47.238
5.3020	47.424
5.3404	47.611
5.3791	47.797
5.4181	47.983
5.4574	48.169
5.4969	48.355
5.5368	48.541
5.5769	48.727
5.6173	48.913
5.6580	49.100
5.6990	49.286
5.7403	49.472
5.7819	49.658
5.8238	49.844
5.8660	50.019
5.9085	50.134
5.9513	50.249
5.9944	50.365
6.0379	50.480
6.0816	50.595
6.1257	50.710
6.1701	50.825
6.2148	50.940
6.2598	51.055
6.3052	51.170
6.3509	51.285
6.3969	51.400
6.4433	51.516
6.4900	51.631
6.5370	51.746
6.5844	51.861
6.6321	51.976
6.6801	52.091
6.7285	52.206
6.7773	52.321
6.8264	52.436
6.8759	52.551
6.9257	52.667
6.9759	52.782
7.0264	52.897
7.0774	53.012
7.1286	53.127
7.1803	53.242
7.2323	53.357
7.2847	53.472
7.3375	53.591
7.3907	53.719
7.4442	53.847
7.4982	53.975
7.5525	54.103
7.6073	54.231
7.6624	54.359
7.7179	54.487
7.7738	54.615
7.8302	54.744
7.8869	54.872
7.9441	55.000
8.0016	55.128
8.0596	55.256
8.1180	55.384
8.1768	55.512
8.2361	55.640
8.2958	55.768
8.3559	55.897
8.4164	56.025
8.4774	56.153
8.5389	56.281
8.6007	56.409
8.6631	56.537
8.7258	56.665
8.7891	56.793
8.8528	56.912
8.9169	57.030
8.9815	57.149
9.0466	57.267
9.1122	57.386
9.1782	57.504
9.2447	57.623
9.3117	57.741
9.3792	57.860
9.4471	57.978
9.5156	58.097
9.5845	58.215
9.6540	58.334
9.7240	58.452
9.7944	58.571
9.8654	58.689
9.9369	58.808
10.0089	58.926
10.0814	59.045
10.1545	59.163
10.2281	59.282
10.3022	59.395
10.3768	59.505
10.4520	59.616
10.5278	59.726
10.6040	59.836
10.6809	59.946
10.7583	60.057
10.8362	60.167
10.9148	60.277
10.9939	60.387
11.0735	60.498
11.1538	60.608
11.2346	60.718
11.3160	60.828
11.3980	60.939
11.4806	61.049
11.5638	61.159
11.6476	61.270
11.7320	61.377
11.8170	61.468
11.9026	61.560
11.9889	61.651
12.0758	61.743
12.1633	61.834
12.2514	61.926
12.3402	62.017
12.4296	62.109
12.5197	62.201
12.6104	62.292
12.7018	62.384
12.7938	62.475
12.8865	62.567
12.9799	62.658
13.0740	62.750
13.1687	62.841
13.2641	62.969
13.3603	63.103
13.4571	63.237
13.5546	63.372
13.6528	63.506
13.7517	63.640
13.8514	63.775
13.9518	63.909
14.0529	64.043
14.1547	64.178
14.2573	64.312
14.3606	64.446
14.4646	64.581
14.5695	64.715
14.6750	64.820
14.7814	64.837
14.8885	64.855
14.9964	64.872
15.1051	64.890
15.2145	64.908
15.3248	64.925
15.4358	64.943
15.5477	64.960
15.6603	64.978
15.7738	64.995
15.8881	65.013
16.0032	65.030
16.1192	65.052
16.2360	65.156
