# sw_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:18:35, uuid 570274f1-cb11-4c2c-a748-e2b1a3faadd7, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 85.73 dB\n80.8 dB C, 47.1 dB A\n81.9 dB 22 - 22k UNW\n25.1 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	42.798
4.4264	42.981
4.4585	43.165
4.4908	43.348
4.5233	43.532
4.5561	43.715
4.5891	43.899
4.6223	44.082
4.6558	44.266
4.6896	44.449
4.7236	44.633
4.7578	44.816
4.7923	45.000
4.8270	45.183
4.8620	45.367
4.8972	45.550
4.9327	45.734
4.9684	45.917
5.0044	46.101
5.0407	46.284
5.0772	46.468
5.1140	46.651
5.1511	46.835
5.1884	47.018
5.2260	47.202
5.2639	47.385
5.3020	47.569
5.3404	47.752
5.3791	47.936
5.4181	48.119
5.4574	48.303
5.4969	48.486
5.5368	48.670
5.5769	48.853
5.6173	49.037
5.6580	49.220
5.6990	49.404
5.7403	49.587
5.7819	49.771
5.8238	49.954
5.8660	50.130
5.9085	50.261
5.9513	50.392
5.9944	50.522
6.0379	50.653
6.0816	50.784
6.1257	50.915
6.1701	51.046
6.2148	51.177
6.2598	51.308
6.3052	51.439
6.3509	51.570
6.3969	51.701
6.4433	51.832
6.4900	51.962
6.5370	52.093
6.5844	52.224
6.6321	52.355
6.6801	52.486
6.7285	52.617
6.7773	52.748
6.8264	52.879
6.8759	53.010
6.9257	53.141
6.9759	53.272
7.0264	53.402
7.0774	53.533
7.1286	53.664
7.1803	53.795
7.2323	53.926
7.2847	54.057
7.3375	54.180
7.3907	54.278
7.4442	54.377
7.4982	54.476
7.5525	54.574
7.6073	54.673
7.6624	54.771
7.7179	54.870
7.7738	54.968
7.8302	55.067
7.8869	55.166
7.9441	55.264
8.0016	55.363
8.0596	55.461
8.1180	55.560
8.1768	55.658
8.2361	55.757
8.2958	55.856
8.3559	55.954
8.4164	56.053
8.4774	56.151
