# tw-L_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:22:12, uuid 4e683c4e-509f-45d4-b016-48f953787bbf, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 68.47 dB\n65.8 dB C, 67.6 dB A\n68.4 dB 22 - 22k UNW\n46.7 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	30.774
4.4264	30.773
4.4585	30.771
4.4908	30.770
4.5233	30.768
4.5561	30.767
4.5891	30.766
4.6223	30.764
4.6558	30.763
4.6896	30.761
4.7236	30.760
4.7578	30.759
4.7923	30.757
4.8270	30.756
4.8620	30.754
4.8972	30.753
4.9327	30.751
4.9684	30.750
5.0044	30.749
5.0407	30.747
5.0772	30.746
5.1140	30.744
5.1511	30.743
5.1884	30.742
5.2260	30.740
5.2639	30.739
5.3020	30.737
5.3404	30.736
5.3791	30.734
5.4181	30.733
5.4574	30.732
5.4969	30.730
5.5368	30.729
5.5769	30.727
5.6173	30.726
5.6580	30.725
5.6990	30.723
5.7403	30.722
5.7819	30.720
5.8238	30.719
5.8660	30.717
5.9085	30.710
5.9513	30.703
5.9944	30.697
6.0379	30.690
6.0816	30.684
6.1257	30.677
6.1701	30.670
6.2148	30.664
6.2598	30.657
6.3052	30.650
6.3509	30.644
6.3969	30.637
6.4433	30.631
6.4900	30.624
6.5370	30.617
6.5844	30.611
6.6321	30.604
6.6801	30.598
6.7285	30.591
6.7773	30.584
6.8264	30.578
6.8759	30.571
6.9257	30.564
6.9759	30.558
7.0264	30.551
7.0774	30.545
7.1286	30.538
7.1803	30.531
7.2323	30.525
7.2847	30.518
7.3375	30.510
7.3907	30.498
7.4442	30.486
7.4982	30.475
7.5525	30.463
7.6073	30.451
7.6624	30.439
7.7179	30.427
7.7738	30.415
7.8302	30.403
7.8869	30.392
7.9441	30.380
8.0016	30.368
8.0596	30.356
8.1180	30.344
8.1768	30.332
8.2361	30.320
8.2958	30.308
8.3559	30.297
8.4164	30.285
8.4774	30.273
8.5389	30.261
8.6007	30.249
8.6631	30.237
8.7258	30.225
8.7891	30.214
8.8528	30.084
8.9169	29.954
8.9815	29.825
9.0466	29.695
9.1122	29.566
9.1782	29.436
9.2447	29.307
9.3117	29.177
9.3792	29.047
9.4471	28.918
9.5156	28.788
9.5845	28.659
9.6540	28.529
9.7240	28.400
9.7944	28.270
9.8654	28.141
9.9369	28.011
10.0089	27.881
10.0814	27.752
10.1545	27.622
10.2281	27.493
10.3022	27.452
10.3768	27.459
10.4520	27.466
10.5278	27.473
10.6040	27.480
10.6809	27.487
10.7583	27.494
10.8362	27.501
10.9148	27.508
10.9939	27.515
11.0735	27.522
11.1538	27.529
11.2346	27.536
11.3160	27.543
11.3980	27.550
11.4806	27.557
11.5638	27.564
11.6476	27.571
11.7320	27.574
11.8170	27.557
11.9026	27.541
11.9889	27.524
12.0758	27.508
12.1633	27.491
12.2514	27.474
12.3402	27.458
12.4296	27.441
12.5197	27.425
12.6104	27.408
12.7018	27.391
12.7938	27.375
12.8865	27.358
12.9799	27.342
13.0740	27.325
13.1687	27.308
13.2641	27.245
13.3603	27.172
13.4571	27.100
13.5546	27.028
13.6528	26.956
13.7517	26.883
13.8514	26.811
13.9518	26.739
14.0529	26.666
14.1547	26.594
14.2573	26.522
14.3606	26.449
14.4646	26.377
14.5695	26.305
14.6750	26.280
14.7814	26.394
14.8885	26.509
14.9964	26.624
15.1051	26.739
15.2145	26.854
15.3248	26.969
15.4358	27.083
15.5477	27.198
15.6603	27.313
15.7738	27.428
15.8881	27.543
16.0032	27.657
16.1192	27.761
16.2360	27.655
16.3537	27.549
16.4722	27.443
16.5915	27.337
16.7118	27.231
16.8329	27.125
16.9548	27.019
17.0777	26.913
17.2015	26.807
17.3261	26.701
17.4517	26.595
17.5781	26.489
17.7055	26.470
17.8338	26.452
17.9630	26.433
18.0932	26.415
18.2243	26.397
18.3564	26.378
18.4894	26.360
18.6234	26.341
18.7583	26.323
18.8943	26.304
19.0312	26.286
19.1691	26.307
19.3080	26.332
19.4479	26.357
19.5888	26.382
19.7308	26.407
19.8738	26.432
20.0178	26.457
20.1628	26.482
20.3089	26.507
20.4561	26.532
20.6043	26.458
20.7536	26.331
20.9040	26.204
21.0555	26.076
21.2081	25.949
21.3618	25.822
21.5166	25.694
21.6725	25.567
21.8295	25.440
21.9877	25.307
22.1470	25.120
22.3075	24.933
22.4692	24.746
22.6320	24.559
22.7960	24.373
22.9612	24.186
23.1276	23.999
23.2952	23.812
23.4640	23.665
23.6340	23.735
23.8053	23.804
23.9778	23.873
24.1515	23.943
24.3265	24.012
24.5028	24.082
24.6804	24.151
24.8592	24.221
25.0394	24.263
25.2208	24.296
25.4036	24.329
25.5877	24.362
25.7731	24.396
25.9598	24.429
26.1480	24.462
26.3374	24.495
26.5283	24.383
26.7205	24.245
26.9141	24.106
27.1092	23.967
27.3056	23.828
27.5035	23.689
27.7028	23.550
27.9035	23.419
28.1057	23.301
28.3094	23.183
28.5145	23.065
28.7212	22.947
28.9293	22.829
29.1389	22.711
29.3501	22.657
29.5628	22.793
29.7770	22.929
29.9928	23.065
30.2101	23.201
30.4290	23.337
30.6495	23.473
30.8716	23.490
31.0953	23.384
31.3207	23.278
31.5476	23.172
31.7762	23.066
32.0065	22.960
32.2384	22.845
32.4720	22.566
32.7073	22.287
32.9444	22.008
33.1831	21.729
33.4235	21.450
33.6657	21.172
33.9097	21.066
34.1554	20.981
34.4029	20.897
34.6522	20.812
34.9033	20.727
35.1562	20.642
35.4110	20.424
35.6676	20.207
35.9261	19.989
36.1864	19.771
36.4486	19.554
36.7128	19.538
36.9788	19.903
37.2467	20.268
37.5167	20.633
37.7885	20.999
38.0623	21.364
38.3382	22.444
38.6160	23.592
38.8958	24.740
39.1777	25.887
39.4616	27.035
39.7475	27.292
40.0355	27.144
40.3257	26.996
40.6179	26.849
40.9122	26.701
41.2087	26.348
41.5073	25.886
41.8081	25.424
42.1110	24.961
42.4162	24.499
42.7235	24.810
43.0331	25.325
43.3450	25.841
43.6591	26.356
43.9754	26.836
44.2941	26.977
44.6151	27.117
44.9384	27.258
45.2640	27.399
45.5920	27.202
45.9224	26.733
46.2552	26.264
46.5904	25.795
46.9280	25.331
47.2680	24.894
47.6105	24.457
47.9556	24.020
48.3031	23.583
48.6531	23.669
49.0056	23.818
49.3608	23.966
49.7184	24.115
50.0787	24.782
50.4416	25.613
50.8071	26.445
51.1753	27.276
51.5461	28.266
51.9197	29.310
52.2959	30.353
52.6749	31.397
53.0566	31.218
53.4410	30.813
53.8283	30.407
54.2183	29.949
54.6112	28.467
55.0070	26.985
55.4056	25.503
55.8071	24.307
56.2115	23.629
56.6188	22.951
57.0291	22.273
57.4423	22.027
57.8586	21.920
58.2779	21.813
58.7002	21.660
59.1255	21.372
59.5540	21.084
59.9855	20.796
60.4202	20.345
60.8580	19.861
61.2990	19.377
61.7432	19.007
62.1907	18.753
62.6413	18.499
63.0952	18.262
63.5525	18.078
64.0130	17.893
64.4768	17.720
64.9441	17.747
65.4147	17.774
65.8887	17.801
66.3662	17.727
66.8471	17.646
67.3315	17.564
67.8194	17.517
68.3108	17.474
68.8058	17.431
69.3044	16.994
69.8067	16.521
70.3125	16.047
70.8220	16.369
71.3352	16.692
71.8521	17.004
72.3728	17.252
72.8973	17.500
73.4255	17.620
73.9576	17.498
74.4935	17.377
75.0333	17.265
75.5770	17.160
76.1247	17.056
76.6763	17.197
77.2320	17.362
77.7916	17.363
78.3553	16.935
78.9231	16.506
79.4950	16.018
80.0711	15.504
80.6513	15.020
81.2357	14.723
81.8244	14.426
82.4173	14.278
83.0146	14.210
83.6161	14.199
84.2220	14.415
84.8323	14.632
85.4471	15.034
86.0663	15.485
86.6899	15.480
87.3181	14.851
87.9509	14.226
88.5882	13.625
89.2301	13.024
89.8767	13.247
90.5280	13.668
91.1840	13.991
91.8448	14.234
92.5103	14.381
93.1807	14.343
93.8559	14.330
94.5360	14.456
95.2211	14.584
95.9111	14.811
96.6061	15.039
97.3062	15.065
98.0113	15.068
98.7215	14.846
99.4369	14.571
100.1575	14.707
100.8832	14.972
101.6143	15.266
102.3506	15.569
103.0923	15.892
103.8393	16.220
104.5918	17.070
105.3497	18.066
106.1131	18.247
106.8821	18.277
107.6566	17.192
108.4367	16.070
109.2225	15.800
110.0139	15.656
110.8112	16.051
111.6141	16.006
112.4229	15.162
113.2376	14.638
114.0582	14.379
114.8847	14.476
115.7172	14.686
116.5557	15.068
117.4003	15.458
118.2511	15.867
119.1080	15.941
119.9711	15.719
120.8404	16.037
121.7161	16.329
122.5981	15.868
123.4865	15.460
124.3813	15.108
125.2826	15.429
126.1905	15.762
127.1049	15.763
128.0260	15.289
128.9537	14.553
129.8881	14.036
130.8294	13.417
131.7774	12.690
132.7323	13.536
133.6942	14.483
134.6630	15.428
135.6388	15.660
136.6217	15.448
137.6117	14.689
138.6089	14.252
139.6133	13.897
140.6250	13.606
141.6440	13.608
142.6704	13.685
143.7043	13.754
144.7456	13.438
145.7945	14.267
146.8510	15.041
147.9151	14.947
148.9870	14.310
150.0666	13.359
151.1541	12.504
152.2494	12.510
153.3526	12.782
154.4639	12.366
155.5832	11.702
156.7106	11.689
157.8462	13.070
158.9900	13.757
160.1422	13.919
161.3026	13.787
162.4715	13.548
163.6488	13.336
164.8347	13.449
166.0291	13.355
167.2323	12.848
168.4441	12.812
169.6647	12.875
170.8942	13.105
172.1325	13.016
173.3799	12.515
174.6363	12.051
175.9017	12.366
177.1764	12.506
178.4603	12.696
179.7535	12.752
181.0561	12.431
182.3681	12.242
183.6896	12.462
185.0207	12.721
186.3614	12.605
187.7119	12.281
189.0721	11.364
190.4422	11.051
191.8222	11.113
193.2122	11.812
194.6123	11.327
196.0226	12.121
197.4430	12.763
198.8738	13.219
200.3149	13.122
201.7665	13.591
203.2286	13.265
204.7012	12.568
206.1846	11.989
207.6787	11.504
209.1836	11.224
210.6994	11.101
212.2262	10.900
213.7641	10.640
215.3131	10.473
216.8734	10.373
218.4450	10.677
220.0279	11.263
221.6223	11.476
223.2283	11.434
224.8459	11.778
226.4752	12.379
228.1163	12.261
229.7694	11.679
231.4344	11.648
233.1114	11.962
234.8007	11.970
