# tw-R_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:22:44, uuid 2c78d22f-ff5e-4504-a52b-42e3120cb743, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 72.11 dB\n69.5 dB C, 71.4 dB A\n72.0 dB 22 - 22k UNW\n51.3 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	31.791
4.4264	31.818
4.4585	31.845
4.4908	31.872
4.5233	31.899
4.5561	31.926
4.5891	31.953
4.6223	31.980
4.6558	32.007
4.6896	32.034
4.7236	32.061
4.7578	32.088
4.7923	32.115
4.8270	32.142
4.8620	32.169
4.8972	32.196
4.9327	32.223
4.9684	32.250
5.0044	32.277
5.0407	32.304
5.0772	32.331
5.1140	32.358
5.1511	32.385
5.1884	32.412
5.2260	32.439
5.2639	32.466
5.3020	32.493
5.3404	32.520
5.3791	32.547
5.4181	32.574
5.4574	32.601
5.4969	32.628
5.5368	32.655
5.5769	32.682
5.6173	32.709
5.6580	32.736
5.6990	32.763
5.7403	32.790
5.7819	32.818
5.8238	32.845
5.8660	32.859
5.9085	32.802
5.9513	32.746
5.9944	32.690
6.0379	32.634
6.0816	32.578
6.1257	32.521
6.1701	32.465
6.2148	32.409
6.2598	32.353
6.3052	32.297
6.3509	32.240
6.3969	32.184
6.4433	32.128
6.4900	32.072
6.5370	32.016
6.5844	31.959
6.6321	31.903
6.6801	31.847
6.7285	31.791
6.7773	31.735
6.8264	31.678
6.8759	31.622
6.9257	31.566
6.9759	31.510
7.0264	31.454
7.0774	31.397
7.1286	31.341
7.1803	31.285
7.2323	31.229
7.2847	31.173
7.3375	31.118
7.3907	31.065
7.4442	31.013
7.4982	30.961
7.5525	30.909
7.6073	30.857
7.6624	30.805
7.7179	30.753
7.7738	30.701
7.8302	30.649
7.8869	30.597
7.9441	30.545
8.0016	30.493
8.0596	30.441
8.1180	30.389
8.1768	30.337
8.2361	30.285
8.2958	30.233
8.3559	30.181
8.4164	30.128
8.4774	30.076
8.5389	30.024
8.6007	29.972
8.6631	29.920
8.7258	29.868
8.7891	29.816
8.8528	29.831
8.9169	29.845
8.9815	29.860
9.0466	29.875
9.1122	29.889
9.1782	29.904
9.2447	29.918
9.3117	29.933
9.3792	29.948
9.4471	29.962
9.5156	29.977
9.5845	29.991
9.6540	30.006
9.7240	30.021
9.7944	30.035
9.8654	30.050
9.9369	30.065
10.0089	30.079
10.0814	30.094
10.1545	30.108
10.2281	30.123
10.3022	30.107
10.3768	30.076
10.4520	30.044
