# w-L_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:19:01, uuid ecad4af5-72ae-41be-9ad5-ba9197298620, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 75.71 dB\n75.4 dB C, 62.7 dB A\n75.7 dB 22 - 22k UNW\n25.1 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	32.354
4.4264	32.378
4.4585	32.402
4.4908	32.426
4.5233	32.450
4.5561	32.474
4.5891	32.498
4.6223	32.522
4.6558	32.546
4.6896	32.570
4.7236	32.594
4.7578	32.618
4.7923	32.642
4.8270	32.666
4.8620	32.690
4.8972	32.714
4.9327	32.738
4.9684	32.762
5.0044	32.785
5.0407	32.809
5.0772	32.833
5.1140	32.857
5.1511	32.881
5.1884	32.905
5.2260	32.929
5.2639	32.953
5.3020	32.977
5.3404	33.001
5.3791	33.025
5.4181	33.049
5.4574	33.073
5.4969	33.097
5.5368	33.121
5.5769	33.145
5.6173	33.169
5.6580	33.193
5.6990	33.217
5.7403	33.241
5.7819	33.265
5.8238	33.288
5.8660	33.304
5.9085	33.275
5.9513	33.246
5.9944	33.217
6.0379	33.188
6.0816	33.159
6.1257	33.130
6.1701	33.101
6.2148	33.072
6.2598	33.043
6.3052	33.014
6.3509	32.985
6.3969	32.955
6.4433	32.926
6.4900	32.897
6.5370	32.868
6.5844	32.839
6.6321	32.810
6.6801	32.781
6.7285	32.752
6.7773	32.723
6.8264	32.694
6.8759	32.665
6.9257	32.636
6.9759	32.607
7.0264	32.578
7.0774	32.549
7.1286	32.520
7.1803	32.491
7.2323	32.461
7.2847	32.432
7.3375	32.409
7.3907	32.402
7.4442	32.396
7.4982	32.389
7.5525	32.382
7.6073	32.376
7.6624	32.369
7.7179	32.362
7.7738	32.355
7.8302	32.349
7.8869	32.342
7.9441	32.335
8.0016	32.329
8.0596	32.322
8.1180	32.315
8.1768	32.309
8.2361	32.302
