# w-R_01 (rta) ver-vol — REW moving-mic RTA (spatial average over the listening area), as REW serves it with display smoothing off: unit SPL, smoothing field None (a 1/48-oct RTA's native resolution; 'None' and '1/48' are the same curve), ppo 96
# REW date 2026-Aug-24 10:19:48, uuid bdafcd08-a547-46d7-8619-2c7f35d870e0, notes: "65536-point 1/48 octave RTA using Hann window, no smoothing and 150 averages\n\nInput RMS 77.88 dB\n77.5 dB C, 62.7 dB A\n77.9 dB 22 - 22k UNW\n25.1 dB >22k\n"
# freq_Hz	SPL_dB
4.3945	32.892
4.4264	32.914
4.4585	32.936
4.4908	32.958
4.5233	32.979
4.5561	33.001
4.5891	33.023
4.6223	33.044
4.6558	33.066
4.6896	33.088
4.7236	33.110
4.7578	33.131
4.7923	33.153
4.8270	33.175
4.8620	33.197
4.8972	33.218
4.9327	33.240
4.9684	33.262
5.0044	33.283
5.0407	33.305
5.0772	33.327
5.1140	33.349
5.1511	33.370
5.1884	33.392
5.2260	33.414
5.2639	33.436
5.3020	33.457
5.3404	33.479
5.3791	33.501
5.4181	33.522
5.4574	33.544
5.4969	33.566
5.5368	33.588
5.5769	33.609
5.6173	33.631
5.6580	33.653
5.6990	33.674
5.7403	33.696
5.7819	33.718
5.8238	33.740
5.8660	33.757
5.9085	33.753
5.9513	33.748
5.9944	33.743
6.0379	33.738
6.0816	33.734
6.1257	33.729
6.1701	33.724
6.2148	33.719
6.2598	33.715
6.3052	33.710
6.3509	33.705
6.3969	33.701
6.4433	33.696
6.4900	33.691
6.5370	33.686
6.5844	33.682
6.6321	33.677
6.6801	33.672
6.7285	33.667
6.7773	33.663
6.8264	33.658
6.8759	33.653
6.9257	33.649
6.9759	33.644
7.0264	33.639
7.0774	33.634
7.1286	33.630
7.1803	33.625
7.2323	33.620
7.2847	33.615
7.3375	33.615
7.3907	33.629
7.4442	33.643
7.4982	33.656
7.5525	33.670
7.6073	33.683
7.6624	33.697
7.7179	33.711
7.7738	33.724
7.8302	33.738
7.8869	33.752
7.9441	33.765
8.0016	33.779
8.0596	33.792
8.1180	33.806
8.1768	33.820
8.2361	33.833
8.2958	33.847
8.3559	33.861
8.4164	33.874
8.4774	33.888
8.5389	33.901
8.6007	33.915
8.6631	33.929
8.7258	33.942
8.7891	33.956
8.8528	33.890
8.9169	33.825
8.9815	33.760
9.0466	33.694
9.1122	33.629
9.1782	33.563
9.2447	33.498
9.3117	33.432
9.3792	33.367
9.4471	33.301
9.5156	33.236
9.5845	33.170
9.6540	33.105
9.7240	33.039
9.7944	32.974
9.8654	32.908
9.9369	32.843
10.0089	32.777
10.0814	32.712
10.1545	32.646
10.2281	32.581
10.3022	32.503
10.3768	32.418
10.4520	32.333
10.5278	32.249
10.6040	32.164
10.6809	32.080
10.7583	31.995
10.8362	31.910
10.9148	31.826
10.9939	31.741
11.0735	31.657
11.1538	31.572
11.2346	31.487
11.3160	31.403
11.3980	31.318
11.4806	31.233
11.5638	31.149
11.6476	31.064
11.7320	30.998
11.8170	31.030
11.9026	31.062
11.9889	31.094
12.0758	31.126
12.1633	31.158
12.2514	31.190
12.3402	31.222
12.4296	31.254
12.5197	31.286
12.6104	31.318
12.7018	31.350
12.7938	31.382
12.8865	31.414
12.9799	31.446
13.0740	31.477
13.1687	31.509
13.2641	31.407
13.3603	31.279
13.4571	31.151
13.5546	31.023
13.6528	30.895
13.7517	30.767
13.8514	30.639
13.9518	30.511
14.0529	30.383
14.1547	30.255
14.2573	30.127
14.3606	29.999
14.4646	29.871
14.5695	29.743
14.6750	29.605
14.7814	29.437
14.8885	29.269
14.9964	29.101
15.1051	28.934
15.2145	28.766
15.3248	28.598
15.4358	28.430
15.5477	28.262
15.6603	28.094
15.7738	27.926
15.8881	27.758
16.0032	27.590
16.1192	27.430
16.2360	27.410
16.3537	27.390
16.4722	27.371
16.5915	27.351
16.7118	27.331
16.8329	27.311
16.9548	27.291
17.0777	27.271
17.2015	27.251
17.3261	27.232
17.4517	27.212
17.5781	27.192
17.7055	27.212
17.8338	27.232
17.9630	27.252
18.0932	27.272
18.2243	27.292
18.3564	27.312
18.4894	27.332
18.6234	27.352
18.7583	27.372
18.8943	27.392
19.0312	27.412
19.1691	27.369
19.3080	27.319
19.4479	27.270
19.5888	27.221
19.7308	27.171
19.8738	27.122
20.0178	27.073
20.1628	27.023
20.3089	26.974
20.4561	26.925
20.6043	26.955
20.7536	27.027
20.9040	27.100
21.0555	27.173
21.2081	27.246
21.3618	27.319
21.5166	27.391
21.6725	27.464
21.8295	27.537
21.9877	27.604
22.1470	27.613
22.3075	27.622
22.4692	27.632
22.6320	27.641
22.7960	27.650
22.9612	27.659
23.1276	27.669
23.2952	27.678
23.4640	27.655
23.6340	27.457
23.8053	27.260
23.9778	27.062
24.1515	26.865
24.3265	26.668
24.5028	26.470
24.6804	26.273
24.8592	26.075
25.0394	25.937
25.2208	25.816
25.4036	25.696
25.5877	25.576
25.7731	25.456
25.9598	25.335
26.1480	25.215
26.3374	25.095
26.5283	25.125
26.7205	25.182
26.9141	25.239
27.1092	25.297
27.3056	25.354
27.5035	25.411
27.7028	25.468
27.9035	25.558
28.1057	25.705
28.3094	25.852
28.5145	25.999
28.7212	26.146
28.9293	26.293
29.1389	26.440
29.3501	26.519
29.5628	26.397
29.7770	26.276
29.9928	26.154
30.2101	26.032
30.4290	25.910
30.6495	25.788
30.8716	25.756
31.0953	25.817
31.3207	25.878
31.5476	25.939
31.7762	26.000
32.0065	26.060
32.2384	26.128
32.4720	26.324
32.7073	26.520
32.9444	26.716
33.1831	26.912
33.4235	27.108
33.6657	27.304
33.9097	27.800
34.1554	28.332
34.4029	28.863
34.6522	29.394
34.9033	29.926
35.1562	30.457
35.4110	30.747
35.6676	31.038
35.9261	31.328
36.1864	31.618
36.4486	31.909
36.7128	32.214
36.9788	32.546
37.2467	32.879
37.5167	33.211
37.7885	33.543
38.0623	33.876
38.3382	34.253
38.6160	34.634
38.8958	35.015
39.1777	35.396
39.4616	35.777
39.7475	35.974
40.0355	36.086
40.3257	36.199
40.6179	36.311
40.9122	36.424
41.2087	36.687
41.5073	37.032
41.8081	37.377
42.1110	37.722
42.4162	38.067
42.7235	38.805
43.0331	39.648
43.3450	40.491
43.6591	41.333
43.9754	42.167
44.2941	42.909
44.6151	43.651
44.9384	44.393
45.2640	45.135
45.5920	45.697
45.9224	46.112
46.2552	46.527
46.5904	46.943
46.9280	47.299
47.2680	47.334
47.6105	47.370
47.9556	47.406
48.3031	47.441
48.6531	47.391
49.0056	47.330
49.3608	47.269
49.7184	47.208
50.0787	47.535
50.4416	47.983
50.8071	48.431
51.1753	48.879
51.5461	49.214
51.9197	49.510
52.2959	49.806
52.6749	50.102
53.0566	50.284
53.4410	50.446
53.8283	50.607
54.2183	50.756
54.6112	50.657
55.0070	50.559
55.4056	50.460
55.8071	50.509
56.2115	50.825
56.6188	51.142
57.0291	51.458
57.4423	52.274
57.8586	53.251
58.2779	54.227
58.7002	54.997
